Id,Name,Rating,Genre,Release_year,Imdb_score,release_date,votes,runtime,
104,Stripes,R,Comedy,1981,6.9,"June 26, 1981 ",68000,106,
105,Possession,R,Drama,1981,7.4,"October 28, 1983 ",27000,124,
106,The Cannonball Run,PG,Action,1981,6.2,"June 19, 1981 ",34000,95,
107,Thief,R,Action,1981,7.4,"March 27, 1981 ",27000,123,
108,Endless Love,R,Drama,1981,4.9,"July 17, 1981 ",7600,116,
109,Time Bandits,PG,Adventure,1981,7,"November 6, 1981 ",60000,110,
110,The Four Seasons,PG,Comedy,1981,6.8,"May 22, 1981 ",4200,107,
111,Friday the 13th Part 2,R,Horror,1981,6.1,"May 1, 1981 ",61000,87,
112,Scanners,R,Horror,1981,6.8,"January 14, 1981 ",51000,103,
113,For Your Eyes Only,PG,Action,1981,6.7,"June 26, 1981 ",94000,127,
114,Halloween II,R,Horror,1981,6.5,"October 30, 1981 ",77000,92,
115,Taps,PG,Drama,1981,6.8,"December 25, 1981 ",17000,126,
116,Reds,PG,Biography,1981,7.3,"December 25, 1981 ",21000,195,
117,On Golden Pond,PG,Drama,1981,7.6,"February 12, 1982 ",29000,109,
118,The Fox and the Hound,G,Animation,1981,7.3,"July 10, 1981 ",87000,83,
119,Chariots of Fire,PG,Biography,1981,7.2,"April 9, 1982 ",56000,125,
120,Absence of Malice,PG,Drama,1981,6.9,"December 18, 1981 ",12000,116,
121,Tarzan the Ape Man,Approved,Adventure,1981,3.4,"July 24, 1981 ",5300,115,
122,Victory,PG,Drama,1981,6.7,"July 31, 1981 ",29000,116,
123,Arthur,PG,Comedy,1981,6.9,"July 17, 1981 ",27000,97,
124,My Dinner with Andre,PG,Biography,1981,7.8,"October 11, 1981 ",19000,110,
125,Caveman,PG,Comedy,1981,5.8,"April 17, 1981 ",7300,91,
126,Dead & Buried,R,Horror,1981,6.6,"October 9, 1981 ",11000,94,
127,History of the World: Part I,R,Comedy,1981,6.9,"June 12, 1981 ",47000,92,
128,The Howling,R,Horror,1981,6.6,"April 10, 1981 ",32000,91,
129,Dragonslayer,PG,Action,1981,6.7,"June 26, 1981 ",16000,109,
130,Cutter's Way,R,Crime,1981,6.9,"February 10, 1982 ",5300,109,
131,Quest for Fire,R,Adventure,1981,7.3,"February 12, 1982 ",21000,100,
132,The Final Conflict,R,Horror,1981,5.6,"March 20, 1981 ",19000,108,
133,Mommie Dearest,R,Biography,1981,6.7,"September 25, 1981 ",15000,129,
134,Private Lessons,R,Comedy,1981,5.2,"June 10, 1981 ",3400,87,
135,The Postman Always Rings Twice,R,Crime,1981,6.6,"March 20, 1981 ",22000,122,
136,Ragtime,PG,Drama,1981,7.3,"December 25, 1981 ",9000,155,
137,Deadly Blessing,R,Horror,1981,5.6,"August 14, 1981 ",5200,100,
138,Eyewitness,R,Crime,1981,6,"February 13, 1981 ",4500,103,
139,Gallipoli,PG,Adventure,1981,7.4,"August 28, 1981 ",38000,110,
140,Outland,R,Action,1981,6.6,"May 22, 1981 ",28000,109,
141,Southern Comfort,R,Action,1981,7.2,"September 25, 1981 ",17000,106,
142,S.O.B.,R,Comedy,1981,6.4,"July 1, 1981 ",5700,122,
143,The Beyond,R,Horror,1981,6.8,"November 11, 1983 ",21000,87,
144,Ghost Story,R,Drama,1981,6.3,"December 18, 1981 ",7900,110,
145,My Bloody Valentine,R,Horror,1981,6.3,"February 11, 1981 ",19000,90,
146,The Funhouse,R,Horror,1981,5.9,"March 13, 1981 ",13000,96,
147,One from the Heart,R,Drama,1981,6.5,"February 11, 1982 ",5700,107,
148,The French Lieutenant's Woman,R,Drama,1981,7,"October 16, 1981 ",13000,124,
149,The Great Muppet Caper,G,Adventure,1981,7.2,"June 26, 1981 ",14000,97,
150,True Confessions,R,Crime,1981,6.3,"September 25, 1981 ",7500,108,
151,Looker,PG,Drama,1981,6.1,"October 30, 1981 ",4900,93,
152,Nighthawks,R,Action,1981,6.4,"April 10, 1981 ",18000,99,
153,Nice Dreams,R,Comedy,1981,6.2,"June 5, 1981 ",7100,88,
154,Sharky's Machine,R,Action,1981,6.3,"December 18, 1981 ",5600,122,
155,Neighbors,R,Comedy,1981,5.6,"December 18, 1981 ",7600,94,
156,Puberty Blues,R,Comedy,1981,5.9,"December 10, 1981 ",1300,87,
157,Eye of the Needle,R,Romance,1981,7.1,"July 24, 1981 ",9900,112,
158,Wolfen,R,Horror,1981,6.3,"July 24, 1981 ",9400,115,
159,Student Bodies,R,Comedy,1981,5.5,"August 7, 1981 ",4400,86,
160,Prince of the City,R,Crime,1981,7.5,"August 26, 1981 ",7600,167,
161,The Hand,R,Drama,1981,5.5,"April 24, 1981 ",5700,104,
162,Continental Divide,PG,Comedy,1981,6.2,"September 18, 1981 ",4800,103,
163,Diva,R,Music,1981,7.2,"April 23, 1982 ",12000,117,
164,Venom,R,Horror,1981,5.8,"January 29, 1982 ",2600,92,
165,Fort Apache the Bronx,R,Crime,1981,6.7,"February 6, 1981 ",5800,125,
166,Eyes of a Stranger,R,Horror,1981,6,"March 27, 1981 ",2400,84,
167,Zorro: The Gay Blade,PG,Action,1981,6.2,"July 17, 1981 ",4100,93,
168,Under the Rainbow,PG,Comedy,1981,5.4,"July 31, 1981 ",2600,98,
169,Carbon Copy,PG,Comedy,1981,5.6,"September 25, 1981 ",2600,92,
170,The Incredible Shrinking Woman,PG,Comedy,1981,5.5,"January 30, 1981 ",4500,88,
171,The Night the Lights Went Out in Georgia,PG,Drama,1981,6,"June 5, 1981 ",891,112,
172,Quartet,R,Drama,1981,6.3,"October 25, 1981 ",1300,101,
173,Graduation Day,R,Horror,1981,4.9,"May 1, 1981 ",3600,96,
174,Modern Problems,PG,Comedy,1981,5.1,"December 25, 1981 ",4900,93,
175,Pennies from Heaven,R,Drama,1981,6.5,"January 1, 1982 ",5300,108,
176,American Pop,R,Animation,1981,7.2,"February 13, 1981 ",4400,96,
177,The Legend of the Lone Ranger,PG,Action,1981,5.1,"May 22, 1981 ",2000,98,
178,Sphinx,PG,Adventure,1981,5.2,"February 11, 1981 ",1300,118,
179,Night School,R,Horror,1981,5.6,"September 11, 1981 ",2400,88,
180,An Eye for an Eye,R,Action,1981,5.5,"August 14, 1981 ",3600,106,
181,Zoot Suit,R,Drama,1981,6.8,"January 1, 1982 ",1100,103,
182,Rich and Famous,R,Drama,1981,5.9,"October 9, 1981 ",1600,117,
183,Buddy Buddy,R,Comedy,1981,6.5,"December 11, 1981 ",4500,96,
184,Bustin' Loose,R,Comedy,1981,6.1,"May 22, 1981 ",2900,94,
185,Modern Romance,R,Comedy,1981,7,"March 13, 1981 ",3600,93,
186,Heartbeeps,PG,Comedy,1981,4.3,"December 18, 1981 ",1300,78,
187,Back Roads,R,Adventure,1981,5.6,"March 13, 1981 ",829,94,
188,Take This Job and Shove It,PG,Comedy,1981,5,"May 15, 1981 ",761,100,
189,Raggedy Man,R,Drama,1981,6.8,"September 18, 1981 ",1400,94,
190,Whose Life Is It Anyway?,R,Comedy,1981,7.3,"January 22, 1982 ",2700,119,
191,Inchon,PG,Drama,1981,2.7,"September 17, 1982 ",659,140,
192,All Night Long,R,Comedy,1981,5.5,"March 6, 1981 ",1700,87,
193,The Pursuit of D.B. Cooper,PG,Adventure,1981,5.6,"November 13, 1981 ",1100,100,
194,Rollover,R,Drama,1981,5.4,"December 11, 1981 ",1100,116,
195,Only When I Laugh,R,Comedy,1981,6.5,"September 25, 1981 ",1300,120,
196,Honky Tonk Freeway,PG,Action,1981,5.2,"August 21, 1981 ",928,107,
197,Paternity,PG,Comedy,1981,4.9,"October 2, 1981 ",920,94,
198,King of the Mountain,PG,Action,1981,5.5,"May 1, 1981 ",384,90,
199,Scream,R,Horror,1981,2.9,"January 1, 1981 ",674,82,
200,The Devil and Max Devlin,PG,Comedy,1981,5,"March 6, 1981 ",1200,96,
