Id,Name,Rating,Genre,Release_year,Imdb_score,release_date,votes,runtime,
4315,Johnny English,PG,Action,2003,6.2,"July 18, 2003 ",152000,87,
4316,The Hunted,R,Action,2003,6.1,"March 14, 2003 ",45000,94,
4317,Matchstick Men,PG-13,Comedy,2003,7.3,"September 12, 2003 ",126000,116,
4318,Under the Tuscan Sun,PG-13,Comedy,2003,6.8,"September 26, 2003 ",49000,113,
4319,Seabiscuit,PG-13,Drama,2003,7.3,"July 25, 2003 ",68000,140,
4320,American Wedding,R,Comedy,2003,6.3,"August 1, 2003 ",198000,96,
4321,Just Married,PG-13,Comedy,2003,5.5,"January 10, 2003 ",69000,95,
4322,High Tension,R,Horror,2003,6.8,"June 10, 2005 ",69000,91,
4323,Lara Croft Tomb Raider: The Cradle of Life,PG-13,Action,2003,5.6,"July 25, 2003 ",132000,117,
4324,Elephant,R,Crime,2003,7.2,"November 14, 2003 ",88000,81,
4325,Darkness Falls,PG-13,Fantasy,2003,5,"January 24, 2003 ",31000,86,
4326,Spy Kids 3-D: Game Over,PG,Action,2003,4.3,"July 25, 2003 ",57000,84,
4327,Gigli,R,Comedy,2003,2.5,"August 1, 2003 ",46000,121,
4328,Out of Time,PG-13,Crime,2003,6.5,"October 3, 2003 ",58000,105,
4329,The Core,PG-13,Action,2003,5.5,"March 28, 2003 ",95000,135,
4330,Dumb and Dumberer: When Harry Met Lloyd,PG-13,Comedy,2003,3.4,"June 13, 2003 ",38000,85,
4331,Runaway Jury,PG-13,Crime,2003,7.1,"October 17, 2003 ",94000,127,
4332,Jeepers Creepers 2,R,Horror,2003,5.6,"August 29, 2003 ",60000,104,
4333,Shanghai Knights,PG-13,Action,2003,6.2,"February 7, 2003 ",102000,114,
4334,Dreamcatcher,R,Drama,2003,5.5,"March 21, 2003 ",90000,134,
4335,"Spring, Summer, Fall, Winter... and Spring",R,Drama,2003,8,"May 28, 2004 ",79000,103,
4336,Daddy Day Care,PG,Comedy,2003,5.6,"May 9, 2003 ",65000,92,
4337,Paycheck,PG-13,Action,2003,6.3,"December 25, 2003 ",105000,119,
4338,Duplex,PG-13,Comedy,2003,5.9,"September 26, 2003 ",56000,89,
4339,Honey,PG-13,Drama,2003,5.4,"December 5, 2003 ",44000,94,
4340,Wonderland,R,Crime,2003,6.6,"October 24, 2003 ",22000,104,
4341,The Haunted Mansion,PG,Comedy,2003,5.1,"November 26, 2003 ",44000,88,
4342,Sinbad: Legend of the Seven Seas,PG,Animation,2003,6.7,"July 2, 2003 ",51000,86,
4343,House of the Dead,R,Action,2003,2.1,"October 10, 2003 ",36000,90,
4344,Gods and Generals,PG-13,Biography,2003,6.3,"February 21, 2003 ",16000,219,
4345,House of Sand and Fog,R,Crime,2003,7.5,"January 9, 2004 ",66000,126,
4346,A Man Apart,R,Action,2003,6.1,"April 4, 2003 ",46000,109,
4347,The Station Agent,R,Comedy,2003,7.6,"December 5, 2003 ",68000,89,
4348,Good Bye Lenin!,R,Comedy,2003,7.7,"May 14, 2004 ",140000,121,
4349,Basic,R,Action,2003,6.5,"March 28, 2003 ",61000,98,
4350,The Human Stain,R,Drama,2003,6.3,"December 18, 2003 ",30000,106,
4351,Grind,PG-13,Adventure,2003,6,"August 15, 2003 ",12000,105,
4352,Gothika,R,Horror,2003,5.8,"November 21, 2003 ",108000,98,
4353,Agent Cody Banks,PG,Action,2003,5.1,"March 14, 2003 ",34000,102,
4354,Ong-Bak: The Thai Warrior,R,Action,2003,7.2,"February 11, 2005 ",72000,105,
4355,Bad Santa,R,Comedy,2003,7,"November 26, 2003 ",137000,92,
4356,Shattered Glass,PG-13,Drama,2003,7.1,"November 26, 2003 ",34000,94,
4357,The Lizzie McGuire Movie,PG,Adventure,2003,5.5,"May 2, 2003 ",37000,94,
4358,The Cooler,R,Drama,2003,6.9,"January 16, 2004 ",33000,101,
4359,Cradle 2 the Grave,R,Action,2003,5.8,"February 28, 2003 ",42000,101,
4360,Uptown Girls,PG-13,Comedy,2003,6.2,"August 15, 2003 ",36000,92,
4361,A Mighty Wind,PG-13,Comedy,2003,7.2,"May 9, 2003 ",27000,91,
4362,Cold Creek Manor,R,Drama,2003,5,"September 19, 2003 ",22000,118,
4363,Calendar Girls,PG-13,Comedy,2003,6.9,"January 1, 2004 ",24000,108,
4364,Kal Ho Naa Ho,Not Rated,Comedy,2003,7.9,"November 28, 2003 ",65000,186,
4365,View from the Top,PG-13,Comedy,2003,5.3,"March 21, 2003 ",26000,87,
4366,Malibu's Most Wanted,PG-13,Comedy,2003,5.2,"April 18, 2003 ",19000,86,
4367,Kangaroo Jack,PG,Action,2003,4.4,"January 17, 2003 ",30000,89,
4368,The Return,Not Rated,Drama,2003,8,"June 25, 2003 ",44000,110,
4369,Radio,PG,Biography,2003,6.9,"October 24, 2003 ",39000,109,
4370,The Recruit,PG-13,Action,2003,6.6,"January 31, 2003 ",131000,115,
4371,Coffee and Cigarettes,R,Comedy,2003,7.1,"June 11, 2004 ",61000,95,
4372,Young Adam,NC-17,Crime,2003,6.4,"September 26, 2003 ",13000,98,
4373,Hollywood Homicide,PG-13,Action,2003,5.3,"June 13, 2003 ",36000,116,
4374,Evil,Not Rated,Drama,2003,7.8,"September 26, 2003 ",36000,113,
4375,National Security,PG-13,Action,2003,5.6,"January 17, 2003 ",49000,88,
4376,The Triplets of Belleville,PG-13,Animation,2003,7.8,"February 13, 2004 ",51000,80,
4377,Untold Scandal,X,Drama,2003,6.9,"October 2, 2003 ",2200,124,
4378,Twentynine Palms,Unrated,Drama,2003,5.2,"September 17, 2003 ",4400,119,
4379,Stuck on You,PG-13,Comedy,2003,5.7,"December 12, 2003 ",52000,118,
4380,Ned Kelly,R,Action,2003,6.5,"March 26, 2004 ",26000,110,
4381,Tokyo Godfathers,PG-13,Animation,2003,7.8,"November 8, 2003 ",33000,92,
4382,Dorm Daze,R,Comedy,2003,4.6,"August 20, 2004 ",7700,96,
4383,The Blind Swordsman: Zatoichi,R,Action,2003,7.5,"September 6, 2003 ",48000,116,
4384,Bright Young Things,R,Comedy,2003,6.6,"October 3, 2003 ",5400,102,
4385,Love Me If You Dare,R,Comedy,2003,7.6,"May 28, 2004 ",68000,93,
4386,Bulletproof Monk,PG-13,Action,2003,5.5,"April 16, 2003 ",48000,104,
4387,Down with Love,PG-13,Comedy,2003,6.3,"May 16, 2003 ",40000,101,
4388,Biker Boyz,PG-13,Action,2003,4.7,"January 31, 2003 ",13000,110,
4389,The Green Butchers,R,Comedy,2003,7.3,"March 21, 2003 ",21000,100,
4390,The Medallion,PG-13,Action,2003,5.3,"August 22, 2003 ",40000,88,
4391,American Splendor,R,Biography,2003,7.4,"September 12, 2003 ",48000,101,
4392,The Shape of Things,R,Comedy,2003,6.7,"May 16, 2003 ",11000,96,
4393,Party Monster,R,Biography,2003,6.3,"October 17, 2003 ",15000,98,
4394,Bringing Down the House,PG-13,Comedy,2003,5.6,"March 7, 2003 ",35000,105,
4395,Willard,PG-13,Drama,2003,6.1,"March 14, 2003 ",18000,100,
4396,Love Don't Cost a Thing,PG-13,Comedy,2003,5.2,"December 12, 2003 ",8200,100,
4397,The Best of Youth,R,Drama,2003,8.5,"June 20, 2003 ",21000,366,
4398,The in-Laws,PG-13,Action,2003,5.7,"May 23, 2003 ",16000,98,
4399,Confidence,R,Crime,2003,6.7,"April 25, 2003 ",34000,97,
4400,Latter Days,R,Comedy,2003,7,"July 1, 2004 ",17000,107,
4401,Beyond Borders,R,Adventure,2003,6.5,"October 24, 2003 ",26000,127,
4402,It Runs in the Family,PG-13,Comedy,2003,5.6,"April 25, 2003 ",4700,109,
4403,Chasing Papi,PG,Comedy,2003,4.8,"April 16, 2003 ",4000,80,
4404,The Fighting Temptations,PG-13,Comedy,2003,5.6,"September 19, 2003 ",6900,123,
4405,Anything Else,R,Comedy,2003,6.3,"September 19, 2003 ",30000,108,
4406,I Capture the Castle,R,Drama,2003,6.9,"August 8, 2003 ",7200,113,
4407,Camp,PG-13,Comedy,2003,6.2,"August 29, 2003 ",5700,114,
4408,The Jungle Book 2,G,Animation,2003,5.4,"February 14, 2003 ",15000,72,
4409,My Boss's Daughter,PG-13,Comedy,2003,4.7,"August 22, 2003 ",29000,86,
4410,A Guy Thing,PG-13,Comedy,2003,5.6,"January 17, 2003 ",17000,101,
4411,Intermission,R,Comedy,2003,6.8,"April 16, 2004 ",15000,105,
4412,All the Real Girls,R,Drama,2003,6.8,"August 1, 2003 ",10000,108,
4413,From Justin to Kelly,PG,Comedy,2003,2.1,"June 20, 2003 ",25000,81,
4414,Owning Mahowny,R,Crime,2003,7.1,"September 25, 2003 ",13000,104,
4415,Head of State,PG-13,Comedy,2003,5.5,"March 28, 2003 ",18000,95,
4416,The Singing Detective,R,Comedy,2003,5.5,"November 14, 2003 ",8200,109,
4417,Pieces of April,PG-13,Comedy,2003,7,"November 28, 2003 ",20000,80,
4418,Code 46,R,Drama,2003,6.2,"September 17, 2004 ",20000,93,
4419,Time of the Wolf,R,Drama,2003,6.6,"October 8, 2003 ",10000,114,
4420,Barely Legal,R,Comedy,2003,4.7,"May 25, 2006 ",5900,90,
4421,Nathalie...,X,Drama,2003,6.3,"January 7, 2004 ",4500,100,
4422,The Order,R,Horror,2003,5.2,"September 5, 2003 ",17000,102,
4423,Gozu,R,Crime,2003,7,"July 14, 2004 ",11000,129,
4424,Veronica Guerin,R,Biography,2003,6.9,"October 17, 2003 ",20000,98,
4425,Shade,R,Crime,2003,6.3,"May 9, 2004 ",12000,101,
4426,The Mother,R,Drama,2003,6.8,"June 18, 2004 ",4000,112,
4427,Sylvia,R,Biography,2003,6.3,"October 31, 2003 ",10000,100,
4428,Rugrats Go Wild,PG,Animation,2003,5.6,"June 13, 2003 ",7900,80,
4429,The Divorce,PG-13,Comedy,2003,4.9,"August 29, 2003 ",11000,117,
4430,Luther,PG-13,Biography,2003,6.6,"September 26, 2003 ",15000,123,
4431,Pride and Prejudice,PG,Comedy,2003,5.1,"December 5, 2003 ",2500,104,
4432,Saints and Soldiers,PG-13,Action,2003,6.7,"March 25, 2005 ",20000,90,
4433,Carandiru,R,Drama,2003,7.6,"April 11, 2003 ",19000,145,
4434,Taxi 3,Not Rated,Action,2003,5.8,"January 29, 2003 ",41000,84,
4435,My Life Without Me,R,Drama,2003,7.5,"March 7, 2003 ",24000,106,
4436,The Company,PG-13,Drama,2003,6.3,"May 7, 2004 ",6300,112,
4437,The Barbarian Invasions,R,Comedy,2003,7.6,"March 5, 2004 ",29000,99,
4438,Good Boy,PG,Comedy,2003,5.1,"October 10, 2003 ",4100,87,
4439,The United States of Leland,R,Drama,2003,7,"March 25, 2005 ",23000,108,
4440,How to Deal,PG-13,Comedy,2003,5.6,"July 18, 2003 ",9300,101,
4441,It's All About Love,R,Drama,2003,5.4,"January 10, 2003 ",8100,106,
4442,Masked and Anonymous,PG-13,Comedy,2003,5.4,"August 8, 2003 ",4500,112,
4443,Control,R,Comedy,2003,7.6,"November 20, 2003 ",25000,111,
4444,The Girl Next Door,R,Comedy,2004,6.7,"April 9, 2004 ",208000,109,
4445,EuroTrip,R,Comedy,2004,6.6,"February 20, 2004 ",200000,92,
4446,Dodgeball: A True Underdog Story,PG-13,Comedy,2004,6.7,"June 18, 2004 ",235000,92,
4447,White Chicks,PG-13,Comedy,2004,5.6,"June 23, 2004 ",135000,109,
4448,Mean Girls,PG-13,Comedy,2004,7,"April 30, 2004 ",347000,97,
4449,Harry Potter and the Prisoner of Azkaban,PG,Adventure,2004,7.9,"June 4, 2004 ",570000,142,
4450,Troy,R,Drama,2004,7.2,"May 14, 2004 ",500000,163,
4451,Eternal Sunshine of the Spotless Mind,R,Drama,2004,8.3,"March 19, 2004 ",935000,108,
4452,Kill Bill: Vol. 2,R,Action,2004,8,"April 16, 2004 ",702000,137,
4453,The Notebook,PG-13,Drama,2004,7.8,"June 25, 2004 ",534000,123,
4454,The Terminal,PG-13,Comedy,2004,7.4,"June 18, 2004 ",421000,128,
4455,Van Helsing,PG-13,Action,2004,6.1,"May 7, 2004 ",251000,131,
4456,The Incredibles,PG,Animation,2004,8,"November 5, 2004 ",673000,115,
4457,Saw,R,Horror,2004,7.6,"October 29, 2004 ",391000,103,
4458,Collateral,R,Crime,2004,7.5,"August 6, 2004 ",373000,120,
4459,The Aviator,PG-13,Biography,2004,7.5,"December 25, 2004 ",342000,170,
4460,Spider-Man 2,PG-13,Action,2004,7.3,"June 30, 2004 ",559000,127,
4461,The Punisher,R,Action,2004,6.4,"April 16, 2004 ",152000,124,
4462,"I, Robot",PG-13,Action,2004,7.1,"July 16, 2004 ",509000,115,
4463,Howl's Moving Castle,PG,Animation,2004,8.2,"June 17, 2005 ",350000,119,
4464,Spanglish,PG-13,Comedy,2004,6.4,"December 17, 2004 ",81000,131,
4465,Million Dollar Baby,PG-13,Drama,2004,8.1,"January 28, 2005 ",650000,132,
4466,Shaun of the Dead,R,Comedy,2004,7.9,"September 24, 2004 ",525000,99,
4467,The Village,PG-13,Drama,2004,6.5,"July 30, 2004 ",247000,108,
4468,My Summer of Love,R,Drama,2004,6.7,"July 1, 2005 ",20000,86,
4469,The Butterfly Effect,R,Drama,2004,7.6,"January 23, 2004 ",460000,113,
4470,The Day After Tomorrow,PG-13,Action,2004,6.4,"May 28, 2004 ",424000,124,
4471,Layer Cake,R,Action,2004,7.3,"June 3, 2005 ",171000,105,
4472,Napoleon Dynamite,PG,Comedy,2004,6.9,"August 27, 2004 ",204000,96,
4473,50 First Dates,PG-13,Comedy,2004,6.8,"February 13, 2004 ",335000,99,
4474,Man on Fire,R,Action,2004,7.7,"April 23, 2004 ",336000,146,
4475,Downfall,R,Biography,2004,8.2,"April 8, 2005 ",338000,156,
4476,13 Going on 30,PG-13,Comedy,2004,6.2,"April 23, 2004 ",174000,98,
4477,Shrek 2,PG,Animation,2004,7.2,"May 19, 2004 ",431000,93,
4478,Crash,R,Crime,2004,7.7,"May 6, 2005 ",424000,112,
4479,The Bourne Supremacy,PG-13,Action,2004,7.7,"July 23, 2004 ",443000,108,
4480,Dawn of the Dead,R,Action,2004,7.3,"March 19, 2004 ",243000,101,
4481,The Passion of the Christ,R,Drama,2004,7.2,"February 25, 2004 ",221000,127,
4482,Resident Evil: Apocalypse,R,Action,2004,6.2,"September 10, 2004 ",190000,94,
4483,Hellboy,PG-13,Action,2004,6.8,"April 2, 2004 ",312000,122,
4484,Anchorman: The Legend of Ron Burgundy,PG-13,Comedy,2004,7.2,"July 9, 2004 ",337000,94,
4485,Walking Tall,PG-13,Action,2004,6.3,"April 2, 2004 ",72000,86,
4486,The Life Aquatic with Steve Zissou,R,Action,2004,7.3,"December 25, 2004 ",185000,119,
4487,A Series of Unfortunate Events,PG,Adventure,2004,6.8,"December 17, 2004 ",199000,108,
4488,The Machinist,R,Drama,2004,7.7,"December 3, 2004 ",366000,101,
4489,The Phantom of the Opera,PG-13,Drama,2004,7.2,"December 10, 2004 ",118000,143,
4490,Closer,R,Drama,2004,7.2,"December 3, 2004 ",207000,104,
4491,National Treasure,PG,Action,2004,6.9,"November 19, 2004 ",311000,131,
4492,Alexander,R,Action,2004,5.6,"November 24, 2004 ",165000,175,
4493,The Chronicles of Riddick,R,Action,2004,6.7,"June 11, 2004 ",218000,119,
4494,9 Songs,Not Rated,Drama,2004,4.8,"March 11, 2005 ",22000,71,
4495,The Manchurian Candidate,R,Drama,2004,6.6,"July 30, 2004 ",107000,129,
4496,King Arthur,PG-13,Action,2004,6.3,"July 7, 2004 ",162000,126,
4497,Ocean's Twelve,PG-13,Crime,2004,6.5,"December 10, 2004 ",367000,125,
4498,Harold & Kumar Go to White Castle,R,Adventure,2004,7,"July 30, 2004 ",185000,88,
4499,Blade: Trinity,R,Action,2004,5.8,"December 8, 2004 ",169000,113,
4500,Alien vs. Predator,PG-13,Action,2004,5.6,"August 13, 2004 ",188000,101,
4501,Meet the Fockers,PG-13,Comedy,2004,6.3,"December 22, 2004 ",257000,115,
4502,Sideways,R,Comedy,2004,7.5,"October 22, 2004 ",183000,127,
4503,Friday Night Lights,PG-13,Action,2004,7.2,"October 8, 2004 ",60000,118,
4504,Starsky & Hutch,PG-13,Comedy,2004,6.1,"March 5, 2004 ",141000,101,
4505,Shark Tale,PG,Animation,2004,6,"October 1, 2004 ",171000,90,
4506,Before Sunset,R,Drama,2004,8.1,"July 30, 2004 ",244000,80,
4507,Ella Enchanted,PG,Comedy,2004,6.3,"April 9, 2004 ",64000,96,
4508,Primer,PG-13,Drama,2004,6.9,"May 27, 2005 ",101000,77,
4509,A Cinderella Story,PG,Comedy,2004,5.9,"July 16, 2004 ",83000,95,
4510,Along Came Polly,PG-13,Comedy,2004,6,"January 16, 2004 ",129000,90,
4511,Somersault,Not Rated,Drama,2004,6.7,"September 16, 2004 ",7600,106,
4512,The SpongeBob SquarePants Movie,PG,Animation,2004,7.1,"November 19, 2004 ",82000,87,
4513,Scooby-Doo 2: Monsters Unleashed,PG,Adventure,2004,5.1,"March 26, 2004 ",52000,93,
4514,The Ladykillers,R,Comedy,2004,6.2,"March 26, 2004 ",101000,104,
4515,Hotel Rwanda,PG-13,Biography,2004,8.1,"February 4, 2005 ",340000,121,
4516,Taking Lives,R,Crime,2004,6.2,"March 19, 2004 ",84000,103,
4517,Kung Fu Hustle,R,Action,2004,7.7,"April 22, 2005 ",130000,99,
4518,The Perfect Score,PG-13,Comedy,2004,5.7,"January 30, 2004 ",24000,93,
4519,Garden State,R,Comedy,2004,7.4,"August 20, 2004 ",209000,102,
4520,The Princess Diaries 2: Royal Engagement,G,Comedy,2004,5.8,"August 11, 2004 ",76000,113,
4521,Twisted,R,Crime,2004,5.3,"February 27, 2004 ",21000,97,
4522,Catwoman,PG-13,Action,2004,3.4,"July 23, 2004 ",113000,104,
4523,Seed of Chucky,R,Comedy,2004,4.8,"November 12, 2004 ",40000,87,
4524,2046,R,Drama,2004,7.4,"September 29, 2004 ",53000,129,
4525,Torque,PG-13,Action,2004,4.1,"January 16, 2004 ",27000,84,
4526,Ray,PG-13,Biography,2004,7.7,"October 29, 2004 ",141000,152,
4527,Chasing Liberty,PG-13,Comedy,2004,6.1,"January 9, 2004 ",37000,111,
4528,Secret Window,PG-13,Drama,2004,6.5,"March 12, 2004 ",186000,96,
4529,Bride & Prejudice,PG-13,Comedy,2004,6.2,"March 11, 2005 ",20000,122,
4530,Finding Neverland,PG,Biography,2004,7.7,"December 17, 2004 ",201000,106,
4531,Team America: World Police,R,Action,2004,7.2,"October 15, 2004 ",162000,98,
4532,Sleepover,PG,Comedy,2004,5.4,"July 9, 2004 ",16000,89,
4533,The Grudge,PG-13,Horror,2004,5.9,"October 22, 2004 ",140000,91,
4534,Around the World in 80 Days,PG,Action,2004,5.9,"June 16, 2004 ",87000,120,
4535,Wimbledon,PG-13,Comedy,2004,6.3,"September 17, 2004 ",61000,98,
4536,The Adventures of Sharkboy and Lavagirl 3-D,PG,Action,2004,3.7,"June 10, 2005 ",35000,93,
4537,The Polar Express,G,Animation,2004,6.6,"November 10, 2004 ",185000,100,
4538,Without a Paddle,PG-13,Adventure,2004,5.9,"August 20, 2004 ",45000,95,
4539,Miracle,PG,Biography,2004,7.5,"February 6, 2004 ",50000,135,
4540,Mindhunters,R,Crime,2004,6.4,"May 13, 2005 ",59000,106,
4541,Mysterious Skin,Unrated,Drama,2004,7.6,"June 24, 2005 ",67000,105,
4542,The Prince and Me,PG,Comedy,2004,5.9,"April 2, 2004 ",38000,111,
4543,Taxi,PG-13,Action,2004,4.5,"October 6, 2004 ",41000,97,
4544,Wicker Park,PG-13,Drama,2004,7,"September 3, 2004 ",53000,114,
4545,Cellular,PG-13,Action,2004,6.5,"September 10, 2004 ",95000,94,
4546,Kinsey,R,Biography,2004,7.1,"January 7, 2005 ",48000,118,
4547,Anacondas: The Hunt for the Blood Orchid,PG-13,Action,2004,4.7,"August 27, 2004 ",30000,97,
4548,The Heart Is Deceitful Above All Things,R,Drama,2004,6.4,"January 19, 2005 ",6500,97,
4549,Confessions of a Teenage Drama Queen,PG,Comedy,2004,4.7,"February 20, 2004 ",28000,89,
4550,Raising Helen,PG-13,Comedy,2004,6,"May 28, 2004 ",36000,119,
4551,Fat Albert,PG,Comedy,2004,4.3,"December 25, 2004 ",12000,93,
4552,Sky Captain and the World of Tomorrow,PG,Action,2004,6,"September 17, 2004 ",83000,106,
4553,The Final Cut,PG-13,Drama,2004,6.2,"October 15, 2004 ",32000,95,
4554,The Stepford Wives,PG-13,Comedy,2004,5.3,"June 11, 2004 ",62000,93,
4555,Shall We Dance,PG-13,Comedy,2004,6.1,"October 15, 2004 ",45000,106,
4556,House of Flying Daggers,PG-13,Action,2004,7.5,"January 14, 2005 ",109000,119,
4557,District B13,R,Action,2004,7.1,"June 2, 2006 ",68000,84,
4558,Dead Man's Shoes,Not Rated,Crime,2004,7.6,"October 1, 2004 ",51000,90,
4559,After the Sunset,PG-13,Action,2004,6.3,"November 12, 2004 ",45000,97,
4560,A Very Long Engagement,R,Drama,2004,7.6,"January 14, 2005 ",72000,133,
4561,The Forgotten,PG-13,Drama,2004,5.8,"September 24, 2004 ",65000,91,
4562,Flight of the Phoenix,PG-13,Action,2004,6.1,"December 17, 2004 ",52000,113,
4563,Saved!,PG-13,Comedy,2004,6.7,"June 11, 2004 ",45000,92,
4564,Garfield,PG,Animation,2004,5,"June 11, 2004 ",81000,80,
4565,In Good Company,PG-13,Comedy,2004,6.4,"January 14, 2005 ",54000,109,
4566,First Daughter,PG,Comedy,2004,5.1,"September 24, 2004 ",21000,106,
4567,Jersey Girl,PG-13,Comedy,2004,6.2,"March 26, 2004 ",64000,102,
4568,The Alamo,PG-13,Drama,2004,6,"April 9, 2004 ",20000,137,
4569,A Love Song for Bobby Long,R,Drama,2004,7.1,"January 21, 2005 ",25000,119,
4570,Raise Your Voice,PG,Family,2004,5.9,"October 8, 2004 ",27000,103,
4571,Hidalgo,PG-13,Action,2004,6.7,"March 5, 2004 ",79000,136,
4572,Bridget Jones: The Edge of Reason,R,Comedy,2004,6,"November 19, 2004 ",109000,108,
4573,Mean Creek,R,Crime,2004,7.2,"September 29, 2004 ",31000,90,
4574,Dirty Dancing: Havana Nights,PG-13,Drama,2004,6,"February 27, 2004 ",27000,86,
4575,D.E.B.S.,PG-13,Action,2004,5.3,"March 25, 2005 ",15000,91,
4576,The Motorcycle Diaries,R,Adventure,2004,7.8,"October 15, 2004 ",98000,126,
4577,Club Dread,R,Comedy,2004,5.7,"February 27, 2004 ",29000,104,
4578,Eros,R,Drama,2004,6,"December 3, 2004 ",6400,104,
4579,Bad Education,NC-17,Crime,2004,7.4,"February 11, 2005 ",57000,106,
4580,Soul Plane,R,Comedy,2004,4.5,"May 28, 2004 ",22000,86,
4581,3-Iron,R,Crime,2004,8,"October 15, 2004 ",52000,88,
4582,Thunderbirds,PG,Action,2004,4.3,"July 30, 2004 ",13000,95,
4583,New York Minute,PG,Comedy,2004,5,"May 7, 2004 ",22000,91,
4584,Birth,R,Drama,2004,6.2,"October 29, 2004 ",35000,100,
4585,Vanity Fair,PG-13,Drama,2004,6.2,"September 1, 2004 ",21000,141,
4586,Exorcist: the Beginning,R,Horror,2004,5.1,"August 20, 2004 ",34000,114,
4587,A Dirty Shame,NC-17,Comedy,2004,5.1,"September 24, 2004 ",12000,89,
4588,Swades,Not Rated,Drama,2004,8.2,"December 17, 2004 ",86000,189,
4589,I Heart Huckabees,R,Comedy,2004,6.6,"October 22, 2004 ",63000,107,
4590,The Sea Inside,PG-13,Biography,2004,8,"March 4, 2005 ",79000,126,
4591,The Door in the Floor,R,Comedy,2004,6.7,"August 6, 2004 ",15000,111,
4592,The Whole Ten Yards,PG-13,Comedy,2004,5.5,"April 9, 2004 ",55000,98,
4593,Envy,PG-13,Comedy,2004,4.8,"April 30, 2004 ",30000,99,
4594,Alfie,R,Comedy,2004,6.2,"November 5, 2004 ",51000,103,
4595,Superbabies: Baby Geniuses 2,PG,Comedy,2004,1.9,"August 27, 2004 ",30000,88,
4596,Nobody Knows,PG-13,Drama,2004,8.1,"October 21, 2004 ",26000,141,
4597,Black Friday,Not Rated,Action,2004,8.5,"February 9, 2007 ",20000,143,
4598,Johnson Family Vacation,PG-13,Comedy,2004,4.5,"April 7, 2004 ",7400,97,
4599,The Chorus,PG-13,Comedy,2004,7.9,"March 17, 2004 ",59000,97,
4600,The Woodsman,R,Drama,2004,7.2,"January 28, 2005 ",33000,87,
4601,Three... Extremes,R,Horror,2004,7,"August 20, 2004 ",19000,125,
4602,Spartan,R,Action,2004,6.5,"March 12, 2004 ",29000,106,
4603,Home on the Range,PG,Animation,2004,5.4,"April 2, 2004 ",21000,76,
4604,Christmas with the Kranks,PG,Comedy,2004,5.4,"November 24, 2004 ",45000,99,
4605,Win a Date with Tad Hamilton!,PG-13,Comedy,2004,5.6,"January 23, 2004 ",27000,95,
4606,Night Watch,R,Action,2004,6.4,"March 3, 2006 ",53000,114,
4607,The Merchant of Venice,R,Drama,2004,7,"February 18, 2005 ",36000,131,
4608,Ladder 49,PG-13,Action,2004,6.5,"October 1, 2004 ",55000,115,
4609,The Libertine,R,Biography,2004,6.3,"March 10, 2006 ",35000,114,
4610,Ma mère,NC-17,Drama,2004,5.1,"May 19, 2004 ",6600,110,
4611,You Got Served,PG-13,Drama,2004,3.9,"January 30, 2004 ",26000,95,
4612,A Good Woman,PG,Drama,2004,6.5,"May 13, 2005 ",12000,93,
4613,Beyond the Sea,PG-13,Biography,2004,6.7,"December 29, 2004 ",15000,118,
4614,Ladies in Lavender,PG-13,Drama,2004,7,"May 27, 2005 ",11000,104,
4615,Eulogy,R,Comedy,2004,6.5,"September 26, 2004 ",8700,91,
4616,Before the Fall,X,Drama,2004,7.4,"January 13, 2005 ",15000,110,
4617,Saving Face,R,Comedy,2004,7.4,"June 24, 2005 ",11000,91,
4618,The Big Bounce,PG-13,Comedy,2004,4.9,"January 30, 2004 ",18000,88,
4619,Veer-Zaara,Not Rated,Drama,2004,7.8,"November 12, 2004 ",50000,192,
4620,Little Black Book,PG-13,Comedy,2004,5.3,"August 6, 2004 ",18000,107,
4621,Laws of Attraction,PG-13,Comedy,2004,5.9,"April 30, 2004 ",23000,90,
4622,Undertow,R,Drama,2004,6.6,"December 17, 2004 ",8600,108,
4623,Head in the Clouds,R,Drama,2004,6.6,"October 30, 2004 ",15000,132,
4624,Maria Full of Grace,R,Crime,2004,7.4,"August 6, 2004 ",34000,101,
4625,Vera Drake,R,Crime,2004,7.6,"February 4, 2005 ",24000,125,
4626,Millions,PG,Comedy,2004,6.9,"April 29, 2005 ",25000,98,
4627,It's All Gone Pete Tong,R,Biography,2004,7.3,"May 27, 2005 ",20000,90,
4628,Catch That Kid,PG,Action,2004,5.2,"February 6, 2004 ",9800,91,
4629,Lakshya,Not Rated,Action,2004,7.9,"June 18, 2004 ",22000,186,
4630,Main Hoon Na,Not Rated,Action,2004,7,"April 30, 2004 ",33000,182,
4631,Tae Guk Gi: The Brotherhood of War,R,Action,2004,8,"September 24, 2004 ",38000,140,
4632,Lila dit ça,R,Crime,2004,6.9,"January 26, 2005 ",4800,89,
4633,Five Times Two,R,Drama,2004,6.6,"September 1, 2004 ",9100,90,
4634,She Hate Me,R,Comedy,2004,5.3,"July 30, 2004 ",7500,138,
4635,Mind Game,TV-MA,Animation,2004,7.8,"June 26, 2005 ",8700,103,
4636,As It Is in Heaven,Not Rated,Comedy,2004,7.5,"September 3, 2004 ",17000,133,
4637,Palindromes,Not Rated,Comedy,2004,6.7,"January 21, 2005 ",12000,100,
4638,Dhoom,Not Rated,Action,2004,6.7,"August 27, 2004 ",19000,129,
4639,Welcome to Mooseport,PG-13,Comedy,2004,5.2,"February 20, 2004 ",12000,110,
