Id,Director,writer,actor,crew
1975,Mark DiSalle,David C. Wilson,Jeff Speakman,31
1976,Michael Apted,Carolyn Shelby,Gene Hackman,138
1977,Simon Moore,Simon Moore,Liam Neeson,15
1978,Derek Jarman,Christopher Marlowe,Steven Waddington,111
1979,József Gémes,Robin Lyons,Claire Bloom,104
1980,Martha Coolidge,Calder Willingham,Laura Dern,108
1981,Joan Micklin Silver,Frank Mugavero,Griffin Dunne,66
1982,Franc Roddam,Patrick Meyers,Michael Biehn,25
1983,Peter Greenaway,William Shakespeare,John Gielgud,112
1984,Nadia Tass,Francis Veber,Martin Short,60
1985,Richard Franklin,Robert T. Megginson,Bryan Brown,146
1986,Atom Egoyan,Atom Egoyan,Elias Koteas,106
1987,Alan Rudolph,William Reilly,Demi Moore,44
1988,Maurice Phillips,Ziggy Steinberg,Richard Pryor,41
1989,Mark Rydell,Neal Jimenez,Bette Midler,146
1990,Sylvio Tabet,Andre Norton,Marc Singer,129
1991,James Glickenhaus,James Glickenhaus,Christopher Walken,100
1992,Duncan Gibbins,Duncan Gibbins,Gregory Hines,42
1993,Bill Duke,Chester Himes,Forest Whitaker,116
1994,Akira Kurosawa,Kiyoko Murata,Sachiko Murase,45
1995,Albert Pyun,Mark DiSalle,Sasha Mitchell,146
1996,Jeff Kanew,Sara Paretsky,Kathleen Turner,56
1997,Rod Daniel,Sam Simon,Joe Pesci,46
1998,Jocelyn Moorhouse,Jocelyn Moorhouse,Hugo Weaving,60
1999,Hector Babenco,Peter Matthiessen,Tom Berenger,97
2000,Herbert Ross,Kevin Wade,John Cusack,120
2001,James Lapine,Sarah Kernochan,Judy Davis,130
2002,James Dearden,Ira Levin,Matt Dillon,20
2003,Irwin Winkler,Irwin Winkler,Robert De Niro,102
2004,Frank De Felitta,Joyce Selznick,Sharon Stone,67
2005,Charles Sturridge,E.M. Forster,Helena Bonham Carter,30
2006,Alain Corneau,Pascal Quignard,Gérard Depardieu,82
2007,Aaron Norris,Robert Geoffrion,Chuck Norris,133
2008,Matthew Robbins,Jim Strain,Cindy Williams,24
2009,Steve Rash,Tony Spiridakis,Kevin Bacon,130
2010,Eric Red,Pierre Boileau,Jeff Fahey,89
2011,Heywood Gould,Heywood Gould,Michael Keaton,131
2012,John Frankenheimer,Michael Mewshaw,Andrew McCarthy,70
2013,Kevin Hooks,Pam Gibson,Tommy Davidson,86
2014,Mark Joffe,Max Dann,Anthony Hopkins,146
2015,Robert Lieberman,Thom Eberhardt,Harley Jane Kozak,116
2016,George Gallo,Frank Pesce,Anthony LaPaglia,141
2017,Jeffrey Hornaday,Joe Gayton,John Travolta,67
2018,Julie Dash,Julie Dash,Cora Lee Day,28
2019,Lasse Hallström,Malia Scotch Marmo,Richard Dreyfuss,141
2020,Alfonso Cuarón,Alfonso Cuarón,Daniel Giménez Cacho,54
2021,Sidney J. Furie,Sidney J. Furie,Ken Wahl,85
2022,Geoff Burrowes,Dennis Shryack,Patrick Dempsey,47
2023,Mary Agnes Donoghue,Mary Agnes Donoghue,Melanie Griffith,79
2024,Claude Chabrol,Gustave Flaubert,Isabelle Huppert,100
2025,Nicholas Meyer,Nicholas Meyer,Gene Hackman,134
2026,Robert M. Young,David Himmelstein,Edward James Olmos,59
2027,John Sayles,John Sayles,Vincent Spano,57
2028,Ken Loach,Bill Jesse,Robert Carlyle,58
2029,Michael Lindsay-Hogg,Michael Lindsay-Hogg,John Malkovich,57
2030,Mike Figgis,Mike Figgis,Kevin Anderson,86
2031,Volker Schlöndorff,Max Frisch,Sam Shepard,45
2032,Radha Bharadwaj,Radha Bharadwaj,Madeleine Stowe,33
2033,Avi Nesher,Avi Nesher,Michael Biehn,41
2034,Michael Bortman,Robert Boswell,Peter Berg,76
2035,Rodman Flender,John Brancato,Brooke Adams,48
2036,Maurice Pialat,Maurice Pialat,Jacques Dutronc,104
2037,W.D. Richter,Mark Andrus,Peter Berg,144
2038,Vicente Aranda,Álvaro del Amo,Victoria Abril,128
2039,Roberto Benigni,Roberto Benigni,Roberto Benigni,59
2040,Lewis Gilbert,Richard Harris,Liza Minnelli,44
2041,Andrey Konchalovskiy,Andrey Konchalovskiy,Tom Hulce,131
2042,Gérard Lauzier,Gérard Lauzier,Gérard Depardieu,20
2043,Martin Campbell,James Cresson,Barbara Hershey,24
2044,Quentin Tarantino,Quentin Tarantino,Harvey Keitel,139
2045,Paul Verhoeven,Joe Eszterhas,Michael Douglas,44
2046,Bernard Rose,Clive Barker,Virginia Madsen,38
2047,Jonathan Lynn,Dale Launer,Joe Pesci,150
2048,Michael Mann,James Fenimore Cooper,Daniel Day-Lewis,148
2049,Francis Ford Coppola,Bram Stoker,Gary Oldman,21
2050,Clint Eastwood,David Webb Peoples,Clint Eastwood,84
2051,Rob Reiner,Aaron Sorkin,Tom Cruise,148
2052,Penny Marshall,Kim Wilson,Tom Hanks,66
2053,Mick Jackson,Lawrence Kasdan,Kevin Costner,135
2054,Martin Brest,Giovanni Arpino,Al Pacino,52
2055,Tim Burton,Bob Kane,Michael Keaton,146
2056,Stephen Herek,Steven Brill,Emilio Estevez,140
2057,Ron Clements,Ron Clements,Scott Weinger,136
2058,Emile Ardolino,Paul Rudnick,Whoopi Goldberg,101
2059,David Fincher,Dan O'Bannon,Sigourney Weaver,58
2060,Robert Zemeckis,Martin Donovan,Meryl Streep,121
2061,Ron Howard,Bob Dolman,Tom Cruise,98
2062,Neil Jordan,Neil Jordan,Stephen Rea,65
2063,James Ivory,E.M. Forster,Anthony Hopkins,48
2064,Andrew Davis,J.F. Lawton,Steven Seagal,129
2065,Bill Duke,Michael Tolkin,Laurence Fishburne,32
2066,Barbet Schroeder,John Lutz,Bridget Fonda,136
2067,Ralph Bakshi,Michael Grais,Gabriel Byrne,119
2068,James Foley,David Mamet,Al Pacino,15
2069,Penelope Spheeris,Mike Myers,Mike Myers,133
2070,Sam Raimi,Sam Raimi,Bruce Campbell,143
2071,Robert Redford,Norman Maclean,Craig Sheffer,130
2072,David Lynch,David Lynch,Sheryl Lee,23
2073,Gary Sinise,John Steinbeck,John Malkovich,50
2074,Brian Levant,John Hughes,Charles Grodin,127
2075,Roland Emmerich,Richard Rothstein,Jean-Claude Van Damme,80
2076,Fran Rubel Kuzui,Joss Whedon,Kristy Swanson,113
2077,Mick Garris,Stephen King,Brian Krause,90
2078,Richard Attenborough,David Robinson,Robert Downey Jr.,129
2079,Jean-Jacques Annaud,Marguerite Duras,Jane March,132
2080,Chris Columbus,John Hughes,Macaulay Culkin,17
2081,Curtis Hanson,Amanda Silver,Annabella Sciorra,31
