Id,Director,writer,actor,crew
3600,Sidney Lumet,John Cassavetes,Sharon Stone,70
3601,Robert Altman,Anne Rapp,Glenn Close,106
3602,Harmony Korine,Harmony Korine,Ewen Bremner,34
3603,Damon Santostefano,Rodney Patrick Vaccaro,Neve Campbell,98
3604,Martha Fiennes,Peter Ettedgui,Ralph Fiennes,24
3605,Hiroyuki Okiura,Mamoru Oshii,Michael Dobson,94
3606,Lawrence Kasdan,Lawrence Kasdan,Loren Dean,83
3607,Chris Roberts,Chris Roberts,Freddie Prinze Jr.,32
3608,James Foley,Robert Pucci,Chow Yun-Fat,131
3609,Scott Hicks,David Guterson,Ethan Hawke,119
3610,Wes Craven,Pamela Gray,Meryl Streep,105
3611,Peter Ho-Sun Chan,Cathleen Schine,Kate Capshaw,43
3612,Gary Sinyor,Roi Cooper Megrue,Chris O'Donnell,61
3613,Michael Rymer,Michael Henry Brown,Omar Epps,75
3614,James Toback,James Toback,Ben Stiller,112
3615,Antonio Banderas,Mark Childress,Melanie Griffith,122
3616,Jeff Pollack,J.B. Cook,David Spade,102
3617,Rolf Schübel,Ruth Toma,Joachim Król,25
3618,Scott Silver,Buddy Ruskin,Claire Danes,149
3619,Mike Barker,Ted Griffin,Alessandro Nivola,115
3620,Ron Shelton,Ron Shelton,Woody Harrelson,51
3621,Peter Kassovitz,Jurek Becker,Robin Williams,85
3622,Tim Robbins,Tim Robbins,Hank Azaria,54
3623,Jake Scott,Selwyn Roberts,Robert Carlyle,35
3624,Alan Rudolph,Kurt Vonnegut Jr.,Bruce Willis,113
3625,David Mamet,Terence Rattigan,Rebecca Pidgeon,78
3626,Barry Levinson,Barry Levinson,Adrien Brody,120
3627,Majid Majidi,Majid Majidi,Hossein Mahjoub,85
3628,Jean-Pierre Dardenne,Jean-Pierre Dardenne,Émilie Dequenne,73
3629,Jim Fall,Jason Schafer,Christian Campbell,37
3630,Shane Meadows,Robyn Slovo,Martin Arrowsmith,17
3631,Frédéric Fonteyne,Philippe Blasband,Nathalie Baye,29
3632,Mike Figgis,Mike Figgis,Julian Sands,116
3633,Max Färberböck,Max Färberböck,Maria Schrader,150
3634,Sam Weisman,Neil Simon,Steve Martin,115
3635,Scott Elliott,Jane Hamilton,Sigourney Weaver,53
3636,Hampton Fancher,Lew McCreary,Owen Wilson,109
3637,Lloyd Kaufman,Patrick Cassidy,Will Keenan,54
3638,Peter Greenaway,Peter Greenaway,John Standing,51
3639,Richard Rich,Oscar Hammerstein II,Miranda Richardson,77
3640,Alison Maclean,Denis Johnson,Billy Crudup,102
3641,Mark Illsley,Ed Stone,Jeremy Northam,52
3642,Patrice Leconte,Serge Frydman,Vanessa Paradis,144
3643,Frank Whaley,Frank Whaley,Noah Fleiss,88
3644,Cameron Crowe,Cameron Crowe,Billy Crudup,124
3645,Mary Harron,Bret Easton Ellis,Christian Bale,27
3646,Ridley Scott,David Franzoni,Russell Crowe,34
3647,Guy Ritchie,Guy Ritchie,Jason Statham,135
3648,Darren Aronofsky,Hubert Selby Jr.,Ellen Burstyn,84
3649,Christopher Nolan,Christopher Nolan,Guy Pearce,46
3650,Giuseppe Tornatore,Giuseppe Tornatore,Monica Bellucci,148
3651,Robert Zemeckis,William Broyles Jr.,Tom Hanks,136
3652,Keenen Ivory Wayans,Shawn Wayans,Anna Faris,85
3653,Wolfgang Petersen,Sebastian Junger,George Clooney,108
3654,David McNally,Gina Wendkos,Piper Perabo,49
3655,Bryan Singer,Tom DeSanto,Patrick Stewart,83
3656,Clint Eastwood,Ken Kaufman,Clint Eastwood,149
3657,Roland Emmerich,Robert Rodat,Mel Gibson,22
3658,Steven Soderbergh,Susannah Grant,Julia Roberts,56
3659,M. Night Shyamalan,M. Night Shyamalan,Bruce Willis,34
3660,McG,Ryan Rowe,Cameron Diaz,132
3661,Todd Phillips,Todd Phillips,Breckin Meyer,27
3662,Danny Boyle,John Hodge,Leonardo DiCaprio,127
3663,Peyton Reed,Jessica Bendinger,Kirsten Dunst,52
3664,Boaz Yakin,Gregory Allen Howard,Denzel Washington,35
3665,John Woo,Bruce Geller,Tom Cruise,52
3666,Joel Coen,Homer,George Clooney,120
3667,Roger Spottiswoode,Cormac Wibberley,Arnold Schwarzenegger,25
3668,Peter Lord,Peter Lord,Mel Gibson,118
3669,Tarsem Singh,Mark Protosevich,Jennifer Lopez,73
3670,James Wong,Glen Morgan,Devon Sawa,75
3671,Steven Soderbergh,Simon Moore,Michael Douglas,53
3672,Jonathan Glazer,Louis Mellis,Ray Winstone,58
3673,Kar-Wai Wong,Kar-Wai Wong,Tony Chiu-Wai Leung,105
3674,Robert Zemeckis,Clark Gregg,Harrison Ford,122
3675,Mark Dindal,Chris Williams,David Spade,121
3676,Ang Lee,Hui-Ling Wang,Chow Yun-Fat,86
3677,Dominic Sena,H.B. Halicki,Nicolas Cage,60
3678,Danny Leiner,Philip Stark,Ashton Kutcher,34
3679,Jay Roach,Greg Glienna,Ben Stiller,69
3680,David Twohy,Jim Wheat,Radha Mitchell,55
3681,Paul Verhoeven,Gary Scott Thompson,Kevin Bacon,28
3682,John Fawcett,Karen Walton,Emily Perkins,55
3683,Donald Petrie,Marc Lawrence,Sandra Bullock,16
3684,Stephen Frears,Nick Hornby,John Cusack,97
3685,Roger Christian,Corey Mandell,John Travolta,65
3686,Wes Craven,Kevin Williamson,David Arquette,114
3687,Christopher Guest,Christopher Guest,Fred Willard,83
3688,Jonathan Lynn,Mitchell Kapner,Bruce Willis,96
3689,Lasse Hallström,Joanne Harris,Juliette Binoche,40
3690,Stephen Daldry,Lee Hall,Jamie Bell,114
3691,Alejandro G. Iñárritu,Guillermo Arriaga,Emilio Echevarría,140
3692,Bobby Farrelly,Peter Farrelly,Jim Carrey,144
3693,Jonathan Mostow,Jonathan Mostow,Matthew McConaughey,66
3694,Harold Ramis,Peter Cook,Brendan Fraser,33
3695,Bibo Bergeron,Terry Rossio,Kevin Kline,111
3696,Asia Argento,Asia Argento,Asia Argento,124
3697,Eric Leighton,Thom Enriquez,D.B. Sweeney,23
3698,Ron Howard,Dr. Seuss,Jim Carrey,138
3699,Lars von Trier,Lars von Trier,Björk,113
3700,Nancy Meyers,Josh Goldsmith,Mel Gibson,70
3701,Sam Raimi,Billy Bob Thornton,Cate Blanchett,29
3702,Brett Ratner,David Diamond,Nicolas Cage,62
3703,Brian De Palma,Lowell Cannon,Tim Robbins,50
3704,Howard Deutch,Vince McKewin,Keanu Reeves,46
3705,Steve Carr,Ice Cube,Ice Cube,48
3706,Stephen Hopkins,John Wainwright,Morgan Freeman,123
3707,Steven Brill,Tim Herlihy,Adam Sandler,51
3708,Ben Younger,Ben Younger,Giovanni Ribisi,53
3709,Matt Williams,Lowell Ganz,Natalie Portman,149
3710,Gregory Hoblit,Toby Emmerich,Dennis Quaid,127
3711,George Tillman Jr.,Scott Marshall Smith,Cuba Gooding Jr.,80
3712,Betty Thomas,Susannah Grant,Sandra Bullock,142
3713,Gina Prince-Bythewood,Gina Prince-Bythewood,Sanaa Lathan,88
3714,Tom Dey,Miles Millar,Jackie Chan,86
3715,Uli Edel,Angela Sommer-Bodenburg,Jonathan Lipnicki,38
3716,Philip Kaufman,Doug Wright,Geoffrey Rush,123
3717,Mimi Leder,Catherine Ryan Hyde,Kevin Spacey,62
3718,Martin Campbell,Robert King,Scott Glenn,81
3719,Brian Levant,William Hanna,Mark Addy,104
3720,Virginie Despentes,Virginie Despentes,Raffaëla Anderson,82
3721,John Frankenheimer,Ehren Kruger,Ben Affleck,136
3722,Patrick Lussier,Joel Soisson,Gerard Butler,29
3723,Kevin Lima,Dodie Smith,Glenn Close,34
3724,Antony Hoffman,Chuck Pfarrer,Val Kilmer,84
3725,Courtney Solomon,Topper Lilien,Justin Whalin,34
3726,Stephen Kay,Ted Lewis,Sylvester Stallone,126
3727,Curtis Hanson,Michael Chabon,Michael Douglas,145
3728,John Singleton,Ernest Tidyman,Samuel L. Jackson,25
3729,Gus Van Sant,Mike Rich,Sean Connery,140
3730,Robert Redford,Steven Pressfield,Will Smith,104
3731,Don Bluth,Hans Bauer,Matt Damon,40
3732,Chris Koch,Will McRobb,Chevy Chase,46
3733,Joe Charbanic,Darcy Meyers,James Spader,58
3734,Rob Cohen,John Pogue,Joshua Jackson,21
3735,Andrzej Bartkowiak,Mitchell Kapner,Jet Li,52
3736,Raja Gosnell,Darryl Quarles,Martin Lawrence,46
3737,Nick Gomez,Peter Steinfeld,Danny DeVito,43
3738,Andrew Dominik,Mark Brandon Read,Eric Bana,56
3739,Edward Norton,Stuart Blumberg,Ben Stiller,62
3740,Nicholas Hytner,Carol Heikkinen,Amanda Schull,70
3741,Michael Radford,Michael Radford,Charlotte Ayanna,66
3742,Joe Berlinger,Daniel Myrick,Jeffrey Donovan,135
3743,William Friedkin,Jim Webb,Tommy Lee Jones,24
3744,Roger Donaldson,David Self,Kevin Costner,95
3745,Kenneth Lonergan,Kenneth Lonergan,Laura Linney,63
3746,Jon Turteltaub,Audrey Wells,Bruce Willis,114
3747,Billy Bob Thornton,Cormac McCarthy,Matt Damon,112
3748,Diane Keaton,Delia Ephron,Diane Keaton,81
3749,Edward Yang,Edward Yang,Nien-Jen Wu,72
3750,Rob Sitch,Santo Cilauro,Sam Neill,136
3751,Walter Hill,William Malone,James Spader,88
3752,Amy Heckerling,Amy Heckerling,Jason Biggs,101
3753,Kris Isacsson,Kris Isacsson,Freddie Prinze Jr.,121
3754,Christopher McQuarrie,Christopher McQuarrie,Ryan Phillippe,136
3755,Des McAnuff,Jay Ward,Robert De Niro,71
3756,John Waters,John Waters,Melanie Griffith,32
3757,Peter Segal,Jerry Lewis,Eddie Murphy,75
3758,Mathieu Kassovitz,Jean-Christophe Grangé,Jean Reno,61
3759,Taylor Hackford,Tony Gilroy,Meg Ryan,115
3760,Spike Lee,Spike Lee,Damon Wayans,100
3761,E. Elias Merhige,Steven Katz,John Malkovich,104
3762,Britt Allcroft,Britt Allcroft,Alec Baldwin,40
3763,Joel Schumacher,Ross Klavan,Colin Farrell,105
3764,Bonnie Hunt,Bonnie Hunt,David Duchovny,107
3765,Robert Iscove,Andrew Lowery,Freddie Prinze Jr.,127
3766,David Raynr,Mark Schwahn,Shane West,96
3767,Miguel Arteta,Mike White,Mike White,50
3768,Joan Chen,Allison Burnett,Richard Gere,123
3769,Ed Harris,Steven Naifeh,Ed Harris,130
3770,Christian Duguay,Wayne Beach,Wesley Snipes,102
3771,Julian Schnabel,Cunningham O'Keefe,Javier Bardem,36
3772,Vic Sarin,Alan B. McElroy,Kirk Cameron,131
3773,Valerie Breiman,Valerie Breiman,Famke Janssen,63
3774,Robert Lee King,Charles Busch,Lauren Ambrose,65
3775,Antoine Fuqua,Andrew Scheinman,Jamie Foxx,111
3776,Nigel Cole,Mark Crowdy,Brenda Blethyn,127
3777,Michael Almereyda,William Shakespeare,Ethan Hawke,70
3778,Kim Ki-duk,Kim Ki-duk,Jung Suh,56
3779,François Ozon,Rainer Werner Fassbinder,Bernard Giraudeau,38
3780,Joel Hershman,Joel Hershman,Clive Owen,120
3781,Douglas Aarniokoski,Gregory Widen,Christopher Lambert,133
3782,Robert Altman,Anne Rapp,Richard Gere,41
3783,James Gray,James Gray,Mark Wahlberg,147
3784,John Ottman,Silvio Horta,Jennifer Morrison,138
3785,Fina Torres,Vera Blasi,Penélope Cruz,28
3786,Brian Robbins,Steven Brill,David Arquette,45
3787,Jack Fletcher,Hideyuki Kikuchi,Andrew Philpot,19
3788,Béla Tarr,László Krasznahorkai,Lars Rudolph,67
3789,Reginald Hudlin,Tim Meadows,Tim Meadows,71
3790,Rod Lurie,Rod Lurie,Joan Allen,149
3791,Fabián Bielinsky,Fabián Bielinsky,Ricardo Darín,127
3792,Greg Berlanti,Greg Berlanti,Timothy Olyphant,92
3793,Mary Lambert,Mark Gibson,Lori Heuring,29
3794,Karyn Kusama,Karyn Kusama,Michelle Rodriguez,110
3795,Bill Eagles,Simon Donald,Rachel Weisz,100
3796,Davis Guggenheim,Gregory Poirier,James Marsden,53
3797,Keith Gordon,Scott Spencer,Billy Crudup,36
3798,Jay Russell,Willie Morris,Frankie Muniz,65
3799,François Ozon,François Ozon,Charlotte Rampling,143
3800,João Pedro Rodrigues,João Pedro Rodrigues,Ricardo Meneses,74
3801,Kamal Haasan,H. Banerjee,Kamal Haasan,140
3802,Bruce Paltrow,John Byrum,Huey Lewis,28
3803,Kathryn Bigelow,Anita Shreve,Catherine McCormack,40
3804,Nora Ephron,Adam Resnick,John Travolta,119
3805,Steve Buscemi,Edward Bunker,Willem Dafoe,38
3806,Chuck Russell,Cathy Cash Spellman,Kim Basinger,97
3807,Sally Potter,Sally Potter,Christina Ricci,109
3808,David Mamet,David Mamet,Philip Seymour Hoffman,120
3809,Stig Bergqvist,J. David Stem,Christine Cavanaugh,123
3810,Michael Haneke,Michael Haneke,Juliette Binoche,21
3811,Denis Villeneuve,Denis Villeneuve,Marie-Josée Croze,62
3812,Paul McGuigan,Johnny Ferguson,Malcolm McDowell,137
3813,Gérard Krawczyk,Luc Besson,Samy Naceri,102
3814,Woody Allen,Woody Allen,Woody Allen,107
3815,Roy Andersson,Roy Andersson,Lars Nordh,54
3816,Don Roos,Don Roos,Ben Affleck,32
3817,Silvio Soldini,Silvio Soldini,Licia Maglietta,82
3818,Takeshi Kitano,Takeshi Kitano,Takeshi Kitano,113
3819,Dominic Anciano,Dominic Anciano,Sadie Frost,106
3820,Neil LaBute,John C. Richards,Renée Zellweger,55
3821,Terence Davies,Edith Wharton,Gillian Anderson,63
3822,Sally Field,Jon Bernstein,Minnie Driver,50
3823,Mark Piznarski,Michael Seitzman,Chris Klein,41
3824,Wim Wenders,Nicholas Klein,Jeremy Davies,34
3825,Jun Falkenstein,Eddie Guzelian,Jim Cummings,110
3826,Mike Nichols,Garry Shandling,Garry Shandling,31
3827,Benoît Jacquot,Serge Bramly,Daniel Auteuil,51
3828,Lisa Krueger,Lisa Krueger,Heather Graham,108
3829,Lukas Moodysson,Lukas Moodysson,Lisa Lindgren,55
3830,Élie Chouraqui,Isabel Ellsen,Andie MacDowell,99
3831,Craig Mazin,James Gunn,Rob Lowe,42
3832,Kenneth Branagh,William Shakespeare,Alessandro Nivola,145
3833,Janusz Kaminski,Pierce Gardner,Winona Ryder,77
3834,James Ivory,Henry James,Uma Thurman,137
3835,Directors,Akiyoshi Hongo,Lara Jill Miller,113
3836,Rakesh Roshan,Rakesh Roshan,Hrithik Roshan,69
3837,Del Shores,Del Shores,Delta Burke,61
3838,Samantha Lang,Anne Kennedy,Susie Porter,141
3839,Ye Lou,Ye Lou,Xun Zhou,47
3840,John Schlesinger,Tom Ropelewski,Madonna,82
3841,Chuck Parello,Stephen Johnston,Steve Railsback,84
3842,Eric Blakeney,Eric Blakeney,Liam Neeson,119
3843,Thomas Bezucha,Thomas Bezucha,Arye Gross,55
3844,Chris Columbus,J.K. Rowling,Daniel Radcliffe,143
3845,Rob Cohen,Ken Li,Vin Diesel,33
3846,Peter Jackson,J.R.R. Tolkien,Elijah Wood,106
3847,Robert Luketic,Amanda Brown,Reese Witherspoon,76
3848,David Lynch,David Lynch,Naomi Watts,139
3849,Pete Docter,Pete Docter,Billy Crystal,24
3850,Hayao Miyazaki,Hayao Miyazaki,Daveigh Chase,60
3851,Richard Kelly,Richard Kelly,Jake Gyllenhaal,36
3852,Joel Gallen,Mike Bender,Chyler Leigh,26
3853,Keenen Ivory Wayans,Shawn Wayans,Anna Faris,131
3854,Steven Soderbergh,George Clayton Johnson,George Clooney,67
3855,Andrew Adamson,William Steig,Mike Myers,19
3856,Ridley Scott,Mark Bowden,Josh Hartnett,48
3857,Ron Howard,Akiva Goldsman,Russell Crowe,86
3858,Stephen Sommers,Stephen Sommers,Brendan Fraser,94
3859,Michael Bay,Randall Wallace,Ben Affleck,31
3860,Wes Anderson,Wes Anderson,Gene Hackman,30
3861,Jean-Pierre Jeunet,Guillaume Laurant,Audrey Tautou,80
3862,Antoine Fuqua,David Ayer,Denzel Washington,140
3863,Steven Spielberg,Brian Aldiss,Haley Joel Osment,86
3864,Terry Zwigoff,Daniel Clowes,Steve Buscemi,43
3865,Jay Chandrasekhar,Jay Chandrasekhar,Jay Chandrasekhar,107
3866,Brian Helgeland,Brian Helgeland,Heath Ledger,128
3867,Ted Demme,Bruce Porter,Johnny Depp,136
3868,Ridley Scott,Thomas Harris,Anthony Hopkins,136
3869,Garry Marshall,Meg Cabot,Julie Andrews,126
3870,Baz Luhrmann,Baz Luhrmann,Nicole Kidman,47
3871,Cameron Crowe,Alejandro Amenábar,Tom Cruise,75
3872,Steve Beck,Robb White,Tony Shalhoub,92
3873,Tim Burton,Pierre Boulle,Mark Wahlberg,136
3874,Alejandro Amenábar,Alejandro Amenábar,Nicole Kidman,19
3875,Dennie Gordon,David Spade,David Spade,92
3876,Gary Trousdale,Tab Murphy,Michael J. Fox,35
3877,Jerry Zucker,Andy Breckman,Breckin Meyer,73
3878,Michael Tollin,Kevin Falls,Freddie Prinze Jr.,113
3879,David Wain,Michael Showalter,Janeane Garofalo,107
3880,Bobby Farrelly,Sean Moynihan,Jack Black,95
3881,Ben Stiller,Drake Sather,Ben Stiller,55
3882,Joe Johnston,Michael Crichton,Sam Neill,32
3883,Jean-Jacques Annaud,Jean-Jacques Annaud,Jude Law,137
3884,Robert Altman,Julian Fellowes,Maggie Smith,48
3885,Dominic Sena,Skip Woods,John Travolta,101
3886,Victor Salva,Victor Salva,Gina Philips,79
3887,Julio Medem,Julio Medem,Paz Vega,49
3888,Brian Robbins,Daniel Coyle,Keanu Reeves,70
3889,Ivan Reitman,Don Jakoby,David Duchovny,86
3890,Michael Cristofer,Cornell Woolrich,Antonio Banderas,144
3891,Marc Forster,Milo Addica,Billy Bob Thornton,17
3892,Robert Rodriguez,Robert Rodriguez,Alexa PenaVega,52
3893,John Moore,Jim Thomas,Gene Hackman,48
3894,Patrice Chéreau,Hanif Kureishi,Mark Rylance,88
3895,Larry Clark,Jim Schutze,Brad Renfro,43
3896,Sharon Maguire,Helen Fielding,Renée Zellweger,99
3897,Jessie Nelson,Kristine Johnson,Sean Penn,133
3898,Rod Lurie,David Scarpa,Robert Redford,143
3899,Michael Haneke,Michael Haneke,Isabelle Huppert,77
3900,Tony Scott,Michael Frost Beckner,Robert Redford,129
3901,Simon West,Sara B. Cooper,Angelina Jolie,41
3902,J.B. Rogers,Adam Herz,Jason Biggs,31
3903,Bill Paxton,Brent Hanley,Bill Paxton,107
3904,Lee Tamahori,James Patterson,Morgan Freeman,67
3905,Brett Ratner,Ross LaManna,Jackie Chan,24
3906,Thomas Carter,Duane Adler,Julia Stiles,45
3907,Harold Becker,Lewis Colick,John Travolta,108
3908,Penny Marshall,Beverly D'Onofrio,Drew Barrymore,60
3909,Luke Greenfield,Tom Brady,Rob Schneider,22
3910,Jesse Dylan,Dustin Lee Abraham,Method Man,74
3911,John Dahl,Clay Tarver,Steve Zahn,96
3912,Demian Lichtenstein,Richard Recco,Kurt Russell,145
3913,Frank Oz,Daniel E. Taylor,Robert De Niro,29
3914,James Isaac,Victor Miller,Kane Hodder,58
3915,Kevin Smith,Kevin Smith,Jason Mewes,58
3916,Gore Verbinski,J.H. Wyman,Brad Pitt,88
3917,Albert Hughes,Alan Moore,Johnny Depp,17
3918,Simon Wincer,Paul Hogan,Paul Hogan,138
3919,David Mamet,David Mamet,Gene Hackman,25
3920,Peter Chelsom,Marc Klein,John Cusack,100
3921,Christophe Gans,Stéphane Cabel,Samuel Le Bihan,103
3922,Sean Penn,Friedrich Dürrenmatt,Jack Nicholson,91
3923,Les Mayfield,Roderick Taylor,Colin Farrell,122
3924,John Carpenter,Larry Sulkis,Natasha Henstridge,100
3925,Joel Coen,Joel Coen,Billy Bob Thornton,126
3926,Stephen Herek,John Stockwell,Mark Wahlberg,131
3927,Bobby Farrelly,Marc Hyman,Laurence Fishburne,131
3928,Catherine Breillat,Catherine Breillat,Anaïs Reboux,110
3929,Dennis Dugan,Hank Nelken,Jason Biggs,89
3930,Daniel Sackheim,Wesley Strick,Diane Lane,109
3931,Adam Shankman,Pamela Falk,Jennifer Lopez,141
3932,David Mirkin,Robert Dunn,Sigourney Weaver,15
3933,Brad Anderson,Brad Anderson,David Caruso,23
3934,Brendan Malloy,Jon Zack,Flex Alexander,42
3935,John Cameron Mitchell,John Cameron Mitchell,John Cameron Mitchell,148
3936,John Singleton,John Singleton,Alexsandra Wright,92
3937,Iain Softley,Gene Brewer,Kevin Spacey,47
3938,Tom Green,Tom Green,Tom Green,66
3939,Kiyoshi Kurosawa,Kiyoshi Kurosawa,Haruhiko Katô,39
3940,Pat O'Connor,Herman Raucher,Keanu Reeves,96
3941,James Mangold,Steven Rogers,Meg Ryan,138
3942,Gary Fleder,Andrew Klavan,Michael Douglas,136
3943,Michael Mann,Gregory Allen Howard,Will Smith,73
3944,Irwin Winkler,Mark Andrus,Hayden Christensen,87
3945,Takashi Miike,Sakichi Sato,Tadanobu Asano,78
3946,Gregory Poirier,Gregory Poirier,Shannon Elizabeth,53
3947,Barry Levinson,Harley Peyton,Bruce Willis,54
3948,Henry Selick,Kaja Blackley,Brendan Fraser,80
3949,Todd Field,Andre Dubus,Tom Wilkinson,97
3950,Louis C.K.,Louis C.K.,Chris Rock,86
3951,Richard Linklater,Richard Linklater,Ethan Hawke,150
3952,Blair Hayes,Cinco Paul,Jake Gyllenhaal,87
3953,Harry Elfont,Deborah Kaplan,Rachael Leigh Cook,126
3954,Guillermo del Toro,Guillermo del Toro,Marisa Paredes,22
3955,Stephen Chow,Stephen Chow,Stephen Chow,78
3956,John A. Davis,John A. Davis,Debi Derryberry,128
3957,Renny Harlin,Jan Skrentny,Sylvester Stallone,101
3958,Tommy O'Haver,R. Lee Fleming Jr.,Kirsten Dunst,19
3959,Directors,Keiko Nobumoto,Beau Billingslea,138
3960,Éva Gárdos,Éva Gárdos,Nastassja Kinski,94
3961,Andrzej Bartkowiak,Ed Horowitz,Steven Seagal,37
3962,Jordan Melamed,Michael Bacall,Joseph Gordon-Levitt,97
3963,Ashutosh Gowariker,Ashutosh Gowariker,Aamir Khan,124
3964,Frank Darabont,Michael Sloane,Jim Carrey,96
3965,Jamie Blanks,Tom Savage,Denise Richards,30
3966,Hironobu Sakaguchi,Hironobu Sakaguchi,Alec Baldwin,29
3967,James Wong,Glen Morgan,Jet Li,103
3968,Léa Pool,Susan Swan,Piper Perabo,117
3969,Francine McDougall,Mandy Nelson,Marla Sokoloff,84
3970,Lawrence Guterman,John Requa,Alec Baldwin,38
3971,Scott Hicks,Stephen King,Anthony Hopkins,57
3972,Joe Roth,Billy Crystal,Julia Roberts,57
3973,Chris Nahon,Jet Li,Jet Li,126
3974,John Madden,Shawn Slovo,Nicolas Cage,140
3975,Henry Bean,Henry Bean,Ryan Gosling,36
3976,Farhan Akhtar,Kassim Jagmagia,Aamir Khan,67
3977,Tony Goldwyn,Laura Zigman,Ashley Judd,148
3978,Barry Skolnick,Tracy Keenan Wynn,Vinnie Jones,55
3979,Michael Apted,Robert Harris,Dougray Scott,98
3980,Oliver Hirschbiegel,Mario Giordano,Moritz Bleibtreu,130
3981,Satoshi Kon,Satoshi Kon,Miyoko Shôji,110
3982,John Boorman,John le Carré,Pierce Brosnan,148
3983,Ronny Yu,Stel Pavlou,Samuel L. Jackson,122
3984,John Herzfeld,John Herzfeld,Robert De Niro,100
3985,Richard Eyre,John Bayley,Judi Dench,143
3986,Caroline Link,Caroline Link,Juliane Köhler,107
3987,John Stockwell,Phil Hay,Kirsten Dunst,77
3988,Luis Mandoki,Gerald Di Pego,Jennifer Lopez,108
3989,Danis Tanovic,Danis Tanovic,Branko Djuric,74
3990,Karan Johar,Karan Johar,Shah Rukh Khan,130
3991,Gregor Jordan,Robert O'Connor,Joaquin Phoenix,129
3992,Alan Cumming,Jennifer Jason Leigh,Alan Cumming,64
3993,Paddy Breathnach,Simon Beaufoy,Alan Rickman,144
3994,Peter Hyams,Alexandre Dumas,Justin Chambers,32
3995,Tim Blake Nelson,William Shakespeare,Mekhi Phifer,29
3996,Jez Butterworth,Tom Butterworth,Nicole Kidman,99
3997,Michel Gondry,Charlie Kaufman,Tim Robbins,56
3998,Jon Favreau,Jon Favreau,Vince Vaughn,25
3999,Harald Zwart,Stan Seidel,Liv Tyler,99
4000,Steve Carr,Hugh Lofting,Eddie Murphy,50
4001,Claire Denis,Claire Denis,Vincent Gallo,135
4002,Tim Hill,David L. Watts,Alex D. Linz,54
4003,Wayne Wang,Wayne Wang,Shane Edelman,18
4004,Gérard Krawczyk,Luc Besson,Jean Reno,70
4005,Stephen Carpenter,Stephen Carpenter,Melissa Sagemiller,94
4006,Gil Junger,Darryl Quarles,Martin Lawrence,21
4007,Lasse Hallström,Annie Proulx,Kevin Spacey,38
4008,Scott McGehee,Elisabeth Sanxay Holding,Tilda Swinton,110
4009,Nanni Moretti,Nanni Moretti,Nanni Moretti,143
4010,Charles Herman-Wurmfeld,Heather Juergensen,Jennifer Westfeldt,37
4011,Peter Howitt,Howard Franklin,Ryan Phillippe,71
4012,Jean-Marie Poiré,Jean-Marie Poiré,Jean Reno,98
4013,Brian Koppelman,Brian Koppelman,Jennifer Baxter,28
4014,Mira Nair,Sabrina Dhawan,Naseeruddin Shah,149
4015,Ray Lawrence,Andrew Bovell,Anthony LaPaglia,86
4016,Michael Cuesta,Stephen M. Ryder,Brian Cox,121
4017,DJ Pooh,DJ Pooh,Dr. Dre,74
4018,Ernest R. Dickerson,Adam Simon,Snoop Dogg,129
4019,J.B. Rogers,Peter Gaulke,Chris Klein,82
4020,Steve Miner,George Durham,James Van Der Beek,116
4021,Sam Weisman,Donald E. Westlake,Martin Lawrence,133
4022,Mark Waters,John J. Strauss,Monica Potter,39
4023,Vondie Curtis-Hall,Cheryl L. West,Mariah Carey,82
4024,Chris Weitz,Elaine May,Chris Rock,108
4025,Richard Linklater,Stephen Belber,Ethan Hawke,137
4026,John Whitesell,George Gallo,David Arquette,124
4027,Mark Brown,Mark Brown,Vivica A. Fox,81
4028,Gary Fleder,Philip K. Dick,Shane Brolly,69
4029,Todd Solondz,Todd Solondz,Selma Blair,137
4030,Rintaro,Osamu Tezuka,Toshio Furukawa,116
4031,Billy Morrissette,William Shakespeare,James Le Gros,53
4032,Maria Ripoll,Hui-Ling Wang,Hector Elizondo,43
4033,Charles Shyer,John Sweet,Hilary Swank,67
4034,Nicole Holofcener,Nicole Holofcener,Catherine Keener,129
4035,Lucrecia Martel,Lucrecia Martel,Mercedes Morán,69
4036,Rob Pritts,David Garrett,Chris Kattan,60
4037,Jacques Audiard,Jacques Audiard,Vincent Cassel,55
4038,Chuck Sheetz,Paul Germain,Andrew Lawrence,16
4039,Mitch Davis,Mitch Davis,Christopher Gorham,57
4040,Tim Blake Nelson,Miklos Nyiszli,David Arquette,15
4041,David Atkins,Paul Felopulos,Steve Martin,99
4042,Gillian Armstrong,Sebastian Faulks,Cate Blanchett,104
4043,Woody Allen,Woody Allen,Greg Stebner,63
4044,Sam Raimi,Stan Lee,Tobey Maguire,17
4045,Phil Alden Robinson,Tom Clancy,Ben Affleck,137
4046,Curtis Hanson,Scott Silver,Eminem,37
4047,Roman Polanski,Ronald Harwood,Adrien Brody,135
4048,Chris Columbus,J.K. Rowling,Daniel Radcliffe,129
4049,Peter Jackson,J.R.R. Tolkien,Elijah Wood,133
4050,Sam Mendes,Max Allan Collins,Tom Hanks,105
4051,Paul W.S. Anderson,Paul W.S. Anderson,Milla Jovovich,70
4052,Steven Spielberg,Jeff Nathanson,Leonardo DiCaprio,81
4053,Danny Boyle,Alex Garland,Cillian Murphy,96
4054,Fernando Meirelles,Paulo Lins,Alexandre Rodrigues,73
