Id,budget,gross,,
561,15000000,6650206,,
562,9500000,16595791,,
563,,4463841,,
564,,15101131,,
565,13000000,6551987,,
566,,11302884,,
567,13000000,25068724,,
568,,7610785,,
569,,2886225,,
570,4600000,13102025,,
571,8000000,6250994,,
572,,,,
573,9000000,27774237,,
574,,,,
575,18000000,11489982,,
576,,150463,,
577,6000000,21821347,,
578,,1057368,,
579,,5410972,,
580,,17513452,,
581,6000000,12414210,,
582,25000000,38348988,,
583,,2556800,,
584,,7343032,,
585,10000000,3854833,,
586,,7828841,,
587,3000000,727639,,
588,,2732684,,
589,,8793152,,
590,9000000,10435015,,
591,350000,3677209,,
592,,4994094,,
593,8000000,10600497,,
594,18000000,19265302,,
595,15100000,26080861,,
596,12000000,26186631,,
597,,3739406,,
598,,5021751,,
599,,5718573,,
600,700000,2490233,,
601,,4561346,,
602,,15726,,
603,12000000,19928200,,
604,10000000,2773433,,
605,11000000,4385312,,
606,,1493782,,
607,,9640000,,
608,,3772785,,
609,,2075282,,
610,9000000,1393501,,
611,,865915,,
612,7000000,1467396,,
613,,1009700,,
614,,1689501,,
615,,1142944,,
616,,7889694,,
617,,4239154,,
618,12000000,129268,,
619,,,,
620,,1525532,,
621,6300000,1059966,,
622,,1820049,,
623,,2527088,,
624,,526805,,
625,,21538850,,
626,,162364,,
627,,1839623,,
628,,148750,,
629,,200498,,
630,,2411143,,
631,,1945658,,
632,,343890,,
633,,,,
634,221000,2687148,,
635,,21058033,,
636,,837914,,
637,,,,
638,,,,
639,,2729,,
640,1000000,95000,,
641,,,,
642,,,,
643,,127426,,
644,7500000,38934048,,
645,19000000,63980721,,
646,19000000,381906762,,
647,6000000,17307019,,
648,15000000,14643997,,
649,1000000,51525171,,
650,17500000,85313124,,
651,44000000,300400432,,
652,8000000,48230162,,
653,24500000,15502112,,
654,4000000,14237880,,
655,10000000,37803872,,
656,15000000,9949953,,
657,6900000,41410568,,
658,,33086611,,
659,8000000,12952019,,
660,10000000,57491000,,
661,12000000,68706993,,
662,15000000,98467863,,
663,26000000,32192570,,
664,30000000,300473716,,
665,,10297601,,
666,11500000,4164283,,
667,20000000,18432000,,
668,3000000,21041453,,
669,17900000,6951415,,
670,9000000,24922237,,
671,25000000,9873044,,
672,6500000,,,
673,10000000,36230219,,
674,4500000,10609321,,
675,30000000,50327960,,
676,8000000,59612888,,
677,19000000,12918858,,
678,3000000,29999213,,
679,,24689703,,
680,25000000,11603545,,
681,6000000,40940662,,
682,31000000,227514205,,
683,3500000,5000000,,
684,,11528900,,
685,17000000,49364621,,
686,22000000,60088980,,
687,3000000,19444631,,
688,7600000,55600000,,
689,44000000,21288692,,
690,2200000,21930418,,
691,9000000,7683620,,
692,900000,2023414,,
693,20000000,45833132,,
694,10000000,25754284,,
695,,3099497,,
696,4500000,27398584,,
697,,6326051,,
698,,12993175,,
699,15000000,40491165,,
700,40000000,12303411,,
701,,9369329,,
702,,19875740,,
703,25000000,96773200,,
704,3200000,10000000,,
705,,331816,,
706,,113164,,
707,8000000,7562164,,
708,4500000,18135531,,
709,20000000,42160849,,
710,,8692426,,
711,7000000,12361866,,
712,,17009654,,
713,,2455535,,
714,18000000,19739575,,
715,2400000,16785,,
716,9000000,20518905,,
717,24000000,18707466,,
718,,26657534,,
719,1000000,2123135,,
720,,444213,,
721,750000,,,
722,,8622757,,
723,,4662137,,
724,,7840873,,
725,5000000,569996,,
726,27000000,14202899,,
727,7000000,13086298,,
728,13000000,30867525,,
729,,6070794,,
730,,1420355,,
731,,9708373,,
732,,19632,,
733,7000000,91666,,
734,,10806919,,
