Id,budget,gross,,
2525,25000000,30626182,,
2526,,39003,,
2527,25000000,68792531,,
2528,,4221036,,
2529,19000000,7408745,,
2530,28000000,11373501,,
2531,7850000,2341309,,
2532,12000000,3103716,,
2533,8000000,4330020,,
2534,3000000,21898920,,
2535,7000000,19623396,,
2536,65897768,15238689,,
2537,,1181182,,
2538,20000000,39491975,,
2539,,4412297,,
2540,3000000,6159269,,
2541,3500000,16192320,,
2542,,13137484,,
2543,,20016254,,
2544,6200000,126247,,
2545,,12267790,,
2546,50000000,38590458,,
2547,18000000,11300653,,
2548,20000000,13383747,,
2549,,1318578,,
2550,14000000,13642861,,
2551,200000,1359736,,
2552,10000000,11555430,,
2553,45000000,21355893,,
2554,,217881,,
2555,,46264384,,
2556,45000000,9771658,,
2557,,14815317,,
2558,,16928556,,
2559,,7924955,,
2560,,18137661,,
2561,40000000,24332324,,
2562,,63513,,
2563,7000000,20851521,,
2564,,9914409,,
2565,,7294403,,
2566,,23070663,,
2567,35000000,20280016,,
2568,20000000,15339030,,
2569,25000000,6562513,,
2570,,16820893,,
2571,26000000,12303080,,
2572,4000000,253986,,
2573,,3129045,,
2574,,1977198,,
2575,,4352094,,
2576,9000000,3662459,,
2577,20000000,27058304,,
2578,,4630377,,
2579,,21006361,,
2580,45000000,28735315,,
2581,,,,
2582,,2332728,,
2583,,28881266,,
2584,,6017509,,
2585,5000000,1702394,,
2586,40000000,43622150,,
2587,,20164171,,
2588,11000000,11439193,,
2589,25000000,26381221,,
2590,20000000,11798854,,
2591,,60822,,
2592,13000000,3134381,,
2593,6000000,48424341,,
2594,50000000,16487349,,
2595,15000000,3038499,,
2596,,11391093,,
2597,2300000,1095885,,
2598,,9979683,,
2599,,16453258,,
2600,3500000,8094616,,
2601,,8647042,,
2602,,2694234,,
2603,,2392589,,
2604,2000000,2260622,,
2605,60000000,18272894,,
2606,15000000,6821850,,
2607,30000000,3180674,,
2608,,19281235,,
2609,17080000,21011318,,
2610,,200151,,
2611,,3062530,,
2612,10000000,29392418,,
2613,,16821273,,
2614,,190749,,
2615,700000,382928,,
2616,45000000,30806194,,
2617,,71368,,
2618,200000,,,
2619,30000000,7941977,,
2620,,319123,,
2621,,3430583,,
2622,,1600226,,
2623,,4165845,,
2624,7000000,2144667,,
2625,3200000,7266973,,
2626,1900000,763847,,
2627,2800000,2313461,,
2628,,12712,,
2629,10500000,123509,,
2630,,766464,,
2631,15000000,1316865,,
2632,,8880705,,
2633,40000000,1519366,,
2634,30000000,3783003,,
2635,,713234,,
2636,,538534,,
2637,19200000,3342223,,
2638,15000000,70936,,
2639,30000000,18869594,,
2640,,11553,,
2641,20000000,305070,,
2642,,487391,,
2643,,1007583,,
2644,60000000,187436818,,
2645,12000000,56631572,,
2646,33000000,327333559,,
2647,72000000,213216216,,
2648,52000000,355237933,,
2649,6000000,23341568,,
2650,65000000,262821940,,
2651,52000000,116112375,,
2652,50000000,152022101,,
2653,100000000,336567158,,
2654,1500000,7412216,,
2655,30000000,394436586,,
2656,7000000,25405445,,
2657,90000000,366101666,,
2658,18000000,122195920,,
2659,8000000,2122561,,
2660,29000001,168839459,,
2661,3600000,32029928,,
2662,45000000,20358624,,
2663,2500000,5987386,,
2664,3500000,28215918,,
2665,16000000,134582776,,
2666,175000000,264218220,,
2667,2000000,2402438,,
2668,19000000,141407024,,
2669,10000000,26488734,,
2670,20000000,66433194,,
2671,60000000,352194034,,
2672,35000000,113374103,,
2673,50000000,189859560,,
2674,4000000,4257354,,
2675,,273188,,
2676,32000000,18636537,,
2677,20000000,7563728,,
2678,,302606,,
2679,50000000,287928194,,
2680,,47774193,,
2681,,17689177,,
2682,25000000,4064495,,
2683,,37591674,,
2684,55000000,346079773,,
2685,18000000,35348597,,
2686,23000000,179519401,,
2687,53000000,157387195,,
2688,20000000,21284514,,
2689,58000000,53672080,,
2690,,516540,,
2691,17000000,182057016,,
2692,30250000,115101622,,
2693,,32679899,,
2694,30000000,254134910,,
2695,11000000,39363635,,
2696,12000000,46576136,,
2697,26000000,19075720,,
2698,,36853222,,
2699,24000000,182016617,,
2700,42000000,7959291,,
2701,98000000,10017322,,
2702,90000000,113493481,,
2703,18000000,1781465,,
2704,20000000,32051917,,
2705,,30112050,,
2706,9500000,30862156,,
2707,17000000,10015449,,
2708,62000000,107879496,,
2709,60000000,104324083,,
2710,,38290723,,
2711,23000000,106269971,,
2712,8000000,16115878,,
2713,9000000,1037847,,
2714,30000000,212385533,,
2715,,24361867,,
2716,55000000,127600435,,
2717,50000000,9851610,,
2718,12000000,17736619,,
2719,30000000,24047675,,
2720,5000000,15116634,,
2721,30000000,76594107,,
2722,50000000,30303072,,
2723,,101982854,,
2724,20000000,50008143,,
2725,,19474589,,
2726,28000000,31596911,,
2727,10000000,24147179,,
2728,6500000,9685976,,
2729,16000000,81452156,,
2730,800000,4569019,,
2731,45000000,35656131,,
2732,7500000,32392047,,
2733,27000000,16140822,,
2734,10000000,41200020,,
2735,,718490,,
2736,13000000,21089146,,
2737,22000000,110627965,,
2738,500000,1111790,,
2739,30000000,10772144,,
2740,,23920048,,
2741,22000000,9418365,,
2742,30000000,2193982,,
2743,25000000,71518503,,
2744,21000000,23440188,,
2745,6000000,11837928,,
2746,68000000,35431113,,
2747,6000000,13940383,,
2748,9000000,868979,,
2749,,40070995,,
2750,44000000,13681765,,
2751,15000000,12201255,,
2752,,919671,,
2753,14000000,171082,,
2754,15000000,6468498,,
2755,,11349090,,
2756,8000000,340139,,
2757,50000000,11534477,,
2758,12000000,13294422,,
2759,46000000,10382407,,
2760,33000000,8175346,,
2761,,4686937,,
2762,,30077111,,
2763,7000000,529766,,
2764,,284785,,
2765,,138510230,,
2766,1000000,512245,,
2767,35000000,64350171,,
2768,,23389975,,
2769,11000000,163971,,
2770,20000000,5711695,,
2771,20000000,19751736,,
2772,,17381942,,
2773,,2748518,,
2774,,,,
2775,15000000,13406717,,
2776,11000000,2844379,,
2777,,6029091,,
2778,25000000,13071518,,
2779,7000000,8367636,,
2780,,50865589,,
2781,32000000,11047627,,
2782,40000000,14942422,,
2783,,63174,,
2784,,941414,,
2785,20000000,17519169,,
2786,4997987,3414301,,
2787,,2568425,,
2788,,1320043,,
2789,,33177694,,
2790,,15453274,,
2791,20000000,6609661,,
2792,19000000,4005941,,
2793,,31738,,
2794,5500000,11079373,,
2795,238000,10426506,,
2796,,459749,,
2797,,7919823,,
2798,,873196,,
2799,,307308,,
2800,,7024389,,
2801,40997769,10904930,,
2802,,218626,,
2803,,1104622,,
2804,2000000,1268636,,
2805,,12096673,,
2806,,1781383,,
2807,,3487767,,
2808,,4821759,,
2809,150000,472370,,
2810,,24670346,,
2811,17000000,7603766,,
2812,6500000,536023,,
2813,28000000,3983912,,
2814,15000000,3987768,,
2815,10500000,26325256,,
2816,15000000,3674841,,
2817,150000,924940,,
2818,,1110104,,
2819,,228800,,
2820,7000000,3734870,,
2821,6400000,6858261,,
2822,6000000,5093707,,
2823,250000,2210408,,
2824,,17014653,,
2825,3000000,,,
2826,4000000,259724,,
2827,,,,
2828,8000000,2763020,,
2829,14000000,2473668,,
2830,10000000,7027517,,
2831,,11642946,,
2832,5000000,3565508,,
2833,,371674,,
2834,,230049,,
2835,,2680717,,
2836,,5221281,,
2837,,4249321,,
2838,,247202,,
2839,23000000,5750110,,
2840,,7506759,,
2841,,955708,,
2842,15000000,6014341,,
2843,,6834525,,
2844,80000000,230418342,,
2845,75000000,817400891,,
2846,14500000,147554998,,
2847,14000000,173046663,,
2848,44000000,165615285,,
2849,19000000,25837111,,
2850,7000000,60611975,,
2851,80000000,457696391,,
2852,36000000,33459416,,
2853,,16607872,,
2854,92000000,494471524,,
2855,12000000,41205099,,
2856,75000000,320689294,,
2857,9000000,2671291,,
2858,50000000,273552592,,
2859,75000000,335062621,,
2860,40000000,152266007,,
2861,15000000,24819936,,
2862,30000000,102616183,,
2863,70000000,101371017,,
2864,27000000,231976425,,
2865,65000000,89456761,,
2866,,20831000,,
2867,7000000,560069,,
2868,10000000,4762310,,
2869,4500000,3802260,,
2870,1000000,24444121,,
2871,42000000,41083864,,
2872,31000000,185260553,,
2873,26000000,34585416,,
2874,40000000,49627779,,
2875,27000000,25023434,,
2876,100000000,325338851,,
2877,30000000,29359216,,
2878,100000000,242295562,,
2879,40000000,113309743,,
2880,45000000,146027888,,
2881,200000,4555020,,
2882,50000000,25477365,,
2883,,10597759,,
2884,47000000,102825796,,
2885,3800000,20949601,,
2886,8500000,15315484,,
2887,3000000,222559,,
2888,54000000,273961019,,
2889,18000000,4770222,,
2890,4100000,12008376,,
2891,55000000,38619405,,
2892,46000000,100860818,,
2893,26000000,181489203,,
2894,9000000,41590886,,
2895,38000000,28946127,,
2896,57000000,115267375,,
2897,55000000,121969216,,
2898,15000000,13427615,,
2899,45000000,58620973,,
2900,38000000,10292300,,
2901,,22955097,,
2902,50000000,150270147,,
2903,6000000,22231658,,
2904,50000000,60209334,,
2905,3000000,4109095,,
2906,25000000,7343114,,
2907,,1605,,
2908,4000000,2923982,,
2909,4500000,13417292,,
2910,80000000,159212469,,
2911,67000000,47267001,,
2912,25000000,14063331,,
2913,80000000,309492681,,
2914,12000000,63118386,,
2915,22000000,25143818,,
2916,45000000,53854588,,
2917,9000000,3793614,,
2918,,3828405,,
2919,45000000,17323326,,
2920,55000000,18626419,,
2921,20000000,26877589,,
2922,,11132210,,
2923,1300000,749741,,
2924,36000000,20300385,,
2925,3000000,295493,,
2926,20000000,18937262,,
2927,31000000,37553752,,
2928,,119718203,,
2929,29000000,11526099,,
2930,60000000,129832389,,
2931,3500000,9538948,,
2932,,2576738,,
2933,5500000,35999081,,
2934,,32417995,,
2935,25000000,14502483,,
2936,,97529550,,
2937,5000000,12408986,,
2938,25000000,11135803,,
2939,32000000,152036382,,
2940,12000000,26570048,,
2941,25530000,20080020,,
2942,55000000,141047179,,
2943,,17100266,,
2944,13000000,5781045,,
2945,18000000,26960191,,
2946,,14818176,,
2947,23000000,12803305,,
2948,45000000,21075014,,
2949,,7032782,,
2950,20000000,9759200,,
2951,12000000,21440752,,
2952,13000000,17917287,,
2953,3300000,3011195,,
2954,30000000,57400547,,
2955,,34327391,,
2956,4000000,9336886,,
2957,500000,502313,,
2958,,1548120,,
2959,50000000,22540359,,
2960,22000000,1094668,,
2961,7000000,409144,,
2962,25000000,22611954,,
2963,8000000,107874,,
2964,,292040,,
2965,25000000,10082005,,
2966,,3692836,,
2967,,269300,,
2968,45000000,20351264,,
2969,60000000,100688705,,
2970,44000000,22754725,,
2971,7000000,14702438,,
2972,,32772492,,
2973,13000000,4619014,,
2974,36000000,13323144,,
2975,,198126,,
2976,40000000,48102795,,
2977,,5200601,,
2978,5000000,2420162,,
2979,,656747,,
2980,,21890845,,
2981,7000000,1060264,,
2982,,9871065,,
2983,17000000,3325651,,
2984,,2099677,,
2985,35000000,8797839,,
2986,3000000,285112,,
2987,38000000,17380126,,
2988,,926954,,
2989,8000000,35599803,,
2990,,329211,,
2991,,34861807,,
2992,1300000,375757,,
2993,22000000,7138523,,
2994,,27315527,,
2995,8000000,5656388,,
2996,15000000,2409225,,
2997,,10125417,,
2998,2300000,49620,,
2999,,26491793,,
3000,30000000,31387164,,
3001,,3124440,,
3002,,2372744,,
3003,25000000,15094530,,
3004,40000000,20340204,,
3005,,9889670,,
3006,,8008255,,
3007,5000000,588621,,
3008,47000000,12379402,,
3009,21500000,22313201,,
3010,39000000,37956793,,
3011,25000000,5009305,,
3012,,,,
3013,,1875527,,
3014,,21508,,
3015,,8620678,,
3016,12000000,4939939,,
3017,,12767815,,
3018,30000000,8315693,,
3019,,32212,,
3020,,10658278,,
3021,25000000,2491989,,
3022,12500000,1227324,,
3023,,2654308,,
3024,,21302121,,
3025,250000,10580,,
3026,,712095,,
3027,23000000,11829959,,
3028,,3486957,,
3029,,12844057,,
3030,,1007822,,
3031,,25372294,,
3032,16000000,2021348,,
3033,19000000,1356828,,
3034,,12825141,,
3035,25000000,17193231,,
3036,,195170,,
3037,18000000,2821671,,
3038,,684351,,
3039,,1383553,,
3040,,5939449,,
3041,5000000,660313,,
3042,,9255027,,
3043,24000000,4422380,,
3044,50000000,109423648,,
3045,15000000,43101594,,
3046,200000000,2201647264,,
3047,93000000,263920180,,
3048,16500000,67683989,,
3049,62000000,1071255,,
3050,10000000,225933435,,
3051,105000000,121214377,,
3052,57000000,152944660,,
3053,75000000,224012234,,
3054,12000000,39673807,,
3055,35000000,126216940,,
3056,20000000,230098753,,
3057,90000000,171120329,,
3058,90000000,589390539,,
3059,32000000,79082515,,
3060,85000000,315156409,,
3061,125000000,238235719,,
3062,60000000,26673829,,
3063,85000000,252712101,,
3064,116000000,178127760,,
3065,73000000,618638999,,
3066,,169785704,,
3067,24000000,172363301,,
3068,80000000,245676146,,
3069,50000000,314178011,,
3070,36000000,12532777,,
3071,40000000,45916769,,
3072,17000000,125586134,,
3073,75000000,161376069,,
3074,,565727,,
3075,45000000,302710615,,
3076,35000000,124909762,,
3077,55000000,174463257,,
3078,50000000,139804348,,
3079,20000000,29481428,,
3080,35000000,25105255,,
3081,9000000,23712993,,
3082,,563130,,
3083,30000000,43312294,,
3084,38000000,299288605,,
3085,45000000,136885767,,
3086,110000000,333011068,,
3087,160000000,164508066,,
3088,68000000,118063304,,
3089,15000000,3703548,,
3090,3500000,257938649,,
3091,40000000,87840042,,
3092,,29235353,,
3093,70000000,131457682,,
3094,15000000,44862187,,
3095,1300000,116799,,
3096,35000000,63856929,,
3097,10000000,2158775,,
3098,250000,12021272,,
3099,19000000,6682098,,
3100,75000000,136982834,,
3101,36000000,50159144,,
3102,50000000,48169156,,
3103,60000000,159330280,,
3104,27000000,60527873,,
3105,25000000,36400360,,
3106,90000000,140807547,,
3107,36000000,44229441,,
3108,80000000,17626234,,
3109,30000000,25480803,,
3110,25000000,9381260,,
3111,15000000,28084357,,
3112,30000000,51376861,,
3113,25000000,29342592,,
3114,20000000,35281794,,
3115,4200000,585773,,
3116,29000000,22619589,,
3117,50000000,110463140,,
3118,90000000,122823468,,
3119,,537948,,
3120,,294064,,
3121,38000000,122417389,,
3122,,5936344,,
3123,,377967,,
3124,18000000,31480418,,
3125,40000000,25804707,,
3126,80000000,177977226,,
3127,1000000,602302,,
3128,18000000,8038061,,
3129,7500000,43700855,,
3130,180000,933933,,
3131,30000000,11438337,,
3132,40000000,33956608,,
3133,25000000,26570463,,
3134,18000000,251212670,,
3135,15000000,64256513,,
3136,,10923,,
3137,50000000,50068310,,
3138,5000000,15738769,,
3139,32000000,59927618,,
3140,,7338279,,
3141,28000000,41230799,,
3142,,16534578,,
3143,10000000,44332015,,
3144,25000000,48407611,,
3145,,3263585,,
3146,,15448043,,
3147,37000000,6492660,,
3148,,7342923,,
3149,25000000,44480039,,
3150,16000000,1710972,,
3151,6000000,14842388,,
3152,28000000,5684789,,
3153,,,,
3154,,1785901,,
3155,60000000,16228448,,
3156,3000000,23144499,,
3157,5000000,5881367,,
3158,35000000,32748995,,
3159,,877862,,
3160,8000000,9615840,,
3161,25000000,13130349,,
3162,,34673095,,
3163,55000000,32000301,,
3164,48000000,22459274,,
3165,6000000,6330054,,
3166,10000000,12782749,,
3167,28000000,7936780,,
3168,,194201,,
3169,30000000,23499102,,
3170,20000000,14515490,,
3171,,3736,,
3172,20000000,13717039,,
3173,16000000,11486880,,
3174,5000000,1740156,,
3175,8000000,1568258,,
3176,,496059,,
3177,20000000,5727130,,
3178,,9229808,,
3179,20000000,10686841,,
3180,12000000,4366722,,
3181,,500000,,
3182,,227569,,
3183,,20050376,,
3184,,1179002,,
3185,1000000,125397,,
3186,30000000,6112613,,
3187,10000000,9593903,,
3188,8000000,3600616,,
3189,,13692848,,
3190,35000000,6537036,,
3191,,5571205,,
3192,,14059077,,
3193,5000000,19868354,,
3194,,228455,,
3195,,18814720,,
3196,,18301610,,
3197,35000000,858553,,
3198,2700000,9161691,,
3199,8000000,589304,,
3200,32000000,3566637,,
3201,55000000,11538235,,
3202,24000000,2642983,,
3203,16000000,2007100,,
3204,15000000,309,,
3205,30000000,21437192,,
3206,85000000,28598376,,
3207,8000000,106404,,
3208,1000000,2057193,,
3209,,3446539,,
3210,,5710,,
3211,1500000,626057,,
3212,18000000,7281450,,
3213,3300000,127923,,
3214,15000000,10925060,,
3215,28000000,8345056,,
3216,,113069,,
3217,12000000,7029025,,
3218,,71145,,
3219,4000000,46362,,
3220,33000000,30716901,,
3221,53000000,19745922,,
3222,,5906773,,
3223,25000000,11838218,,
3224,3000000,3602884,,
3225,11000000,14772788,,
3226,,785482,,
3227,,1935539,,
3228,,83488,,
3229,,332597,,
3230,,9090,,
3231,9000000,334319,,
3232,,397020,,
3233,12000000,4166918,,
3234,25000,2804473,,
3235,,13330,,
3236,,14009368,,
3237,,40158,,
3238,,301796,,
3239,31190000,4529843,,
3240,,1897404,,
3241,35000000,2372903,,
3242,,14598571,,
3243,,3392080,,
3244,15000000,46748721,,
3245,70000000,482349603,,
3246,20000000,23875127,,
3247,,3753929,,
3248,60000000,264118201,,
3249,140000000,553709788,,
3250,12000000,22912409,,
3251,,92108659,,
3252,20000000,30166293,,
3253,45000000,131183530,,
3254,18000000,123306987,,
3255,90000000,142940100,,
3256,33000000,244721064,,
3257,18500000,10680275,,
3258,75000000,349464664,,
3259,23000000,369884651,,
3260,15000000,40283321,,
3261,120000000,363258859,,
3262,48000000,77745966,,
3263,90000000,304320254,,
3264,75000000,46733235,,
3265,52000000,98126565,,
3266,60000000,49805462,,
3267,65000000,250821495,,
3268,85000000,55382927,,
3269,9000000,17196103,,
3270,95000000,250288523,,
3271,60000000,128038368,,
3272,27000000,27200316,,
3273,26000000,98005666,,
3274,130000000,379014294,,
3275,25000000,289317794,,
3276,10000000,25605015,,
3277,40000000,54682547,,
3278,73000000,103891409,,
3279,70000000,218613188,,
3280,50000000,159710793,,
3281,23000000,185991646,,
3282,35000000,40263020,,
3283,58000000,112587658,,
3284,35000000,182968902,,
3285,90000000,250849789,,
3286,1300000,1657778,,
3287,14000000,72527595,,
3288,,25232289,,
3289,55000000,41616262,,
3290,80000000,136159423,,
3291,25000000,50688658,,
3292,60000,3221152,,
3293,60000000,186883563,,
3294,2200000,2982011,,
3295,90000000,202292902,,
3296,80000000,37020277,,
3297,60000000,102367405,,
3298,70000000,164839294,,
3299,45000000,11203026,,
3300,140000000,285444603,,
3301,30000000,82150642,,
3302,50000000,44547681,,
3303,13000000,16757163,,
3304,30000000,81471882,,
3305,6000000,11841544,,
3306,1500000,2375097,,
3307,60000000,37170655,,
3308,17000000,55041738,,
3309,15000000,17514980,,
3310,60000000,93107289,,
3311,,7267585,,
3312,55000000,198685114,,
3313,8000000,17460020,,
3314,25000000,21567853,,
3315,105000000,171757863,,
3316,30000000,16316273,,
3317,20000000,20308772,,
3318,,1053788,,
3319,6000,48482,,
3320,,6955,,
3321,25000000,55494066,,
3322,60000000,23384939,,
3323,9000000,21057208,,
3324,65000000,40002112,,
3325,70000000,116672912,,
3326,,,,
3327,60000000,14594226,,
3328,17000000,30331165,,
3329,,12461773,,
3330,66000000,189176423,,
3331,25000000,7027290,,
3332,2000000,146125,,
3333,,,,
3334,,299569,,
3335,30000000,19204929,,
3336,,,,
3337,,7120568,,
3338,30000000,29202884,,
3339,13000000,10023282,,
3340,14000000,8863193,,
3341,71500000,294456605,,
3342,,19221939,,
3343,12000000,5078660,,
3344,30000000,9898412,,
3345,,29967750,,
3346,8000000,3020601,,
3347,13000000,27007143,,
3348,28000000,14051384,,
3349,10000000,6451628,,
3350,18000000,10019109,,
3351,90000000,50632037,,
3352,15000000,46905889,,
3353,37000000,15055091,,
3354,30000000,163644662,,
3355,3000000,9639390,,
3356,,14096321,,
3357,3000000,55257450,,
3358,90000000,69131860,,
3359,,107178,,
3360,65000000,52090187,,
3361,40000000,22510798,,
3362,,219331,,
3363,70000000,19870567,,
3364,,913834,,
3365,,2652246,,
3366,,9623329,,
3367,,21521,,
3368,30000000,18253415,,
3369,2500000,,,
3370,,3121,,
3371,,351447,,
3372,,15923122,,
3373,85000000,34562556,,
3374,21000000,13583690,,
3375,20000000,39278722,,
3376,30000000,6136856,,
3377,18000000,3572443,,
3378,,1960216,,
3379,75000000,56709981,,
3380,20000000,3970078,,
3381,24000000,140894675,,
3382,4500000,23261485,,
3383,14000000,15064946,,
3384,15000000,12874899,,
3385,30000000,12951088,,
3386,8000000,4553271,,
3387,27000000,10452012,,
3388,2900000,5971073,,
3389,6000000,2281761,,
3390,25000000,777423,,
3391,6000000,282175,,
3392,,8341087,,
3393,10000000,19889299,,
3394,50000000,13806137,,
3395,,1672,,
3396,12000000,1263279,,
3397,,5624282,,
3398,2000000,6745362,,
3399,80000000,22852487,,
3400,,375805,,
3401,,357549,,
3402,30000000,26616840,,
3403,19000000,8165212,,
3404,5000000,5502773,,
3405,,5878911,,
3406,1100000,713239,,
3407,,4071548,,
3408,23000000,26875268,,
3409,,801985,,
3410,15000000,12218638,,
3411,,1171001,,
3412,24000000,4356216,,
3413,25000000,1677131,,
3414,10000000,14328,,
3415,,4611784,,
3416,,18912328,,
3417,,25824,,
3418,,2048740,,
3419,8000000,1794086,,
3420,30000000,10319915,,
3421,30000000,12214338,,
3422,700000,871759,,
3423,,8072007,,
3424,20000000,9257103,,
3425,,1214198,,
3426,,,,
3427,4500000,1036818,,
3428,,4106588,,
3429,,4390,,
3430,,123104,,
3431,,524864,,
3432,,238497,,
3433,,895788,,
3434,,104255,,
3435,60000000,12069719,,
3436,5000000,4714658,,
3437,5000000,2087471,,
3438,,7571115,,
3439,6000000,11710,,
3440,,77910,,
3441,15000000,1808004,,
3442,35000000,10493366,,
3443,,,,
3444,63000000,466364845,,
3445,63000000,101209702,,
3446,40000000,128799509,,
3447,65000000,162242684,,
3448,80000000,415933406,,
3449,11000000,235483004,,
3450,60000000,286801374,,
3451,15000000,356296601,,
3452,115000000,1027082707,,
3453,30000000,53478579,,
3454,40000000,672806292,,
3455,33000000,312016928,,
3456,10000000,10828256,,
3457,45000000,90683916,,
3458,42000000,363889678,,
3459,10500000,76347426,,
3460,60000,248639099,,
3461,9000000,10410044,,
3462,37000000,48451803,,
3463,40000000,48350205,,
3464,133000000,300135367,,
3465,60000000,164648142,,
3466,6000000,30471,,
3467,16000000,54294169,,
3468,10000000,103166989,,
3469,100000000,206071502,,
3470,35000000,56870414,,
3471,90000000,497375381,,
3472,10000000,31429330,,
3473,130000000,448191819,,
3474,25000000,14902041,,
3475,13000000,23106667,,
3476,70000000,23180087,,
3477,135000000,361832400,,
3478,,1585642,,
3479,68000000,33461011,,
3480,170000000,222104681,,
3481,34200000,234801895,,
3482,38000000,58401898,,
3483,70000000,177841558,,
3484,90000000,60289912,,
3485,17000000,92938755,,
3486,160000000,61698899,,
3487,80000000,73475268,,
3488,100000000,211989043,,
3489,48000000,124305181,,
3490,15000000,10571408,,
3491,2000000,11540607,,
3492,40000000,96618699,,
3493,37000000,42593455,,
3494,1200000,2595216,,
3495,25000000,84565230,,
3496,3500000,3117085,,
3497,73000000,151493655,,
3498,55000000,100230832,,
3499,14000000,4750660,,
3500,22000000,19288130,,
3501,24000000,88545092,,
3502,25000000,34698753,,
3503,80000000,177311151,,
3504,15000000,2856712,,
3505,80000000,46112640,,
3506,55000000,16797191,,
3507,75000000,107752036,,
3508,20000000,28451622,,
3509,90000000,161626121,,
3510,21000000,83137603,,
3511,10000000,6416569,,
3512,25000000,4152230,,
3513,55000000,98625775,,
3514,34000000,4217115,,
3515,95000000,149705852,,
3516,85000000,66976317,,
3517,82000000,47434430,,
3518,30000,217244,,
3519,12000000,2062405,,
3520,66000000,212404396,,
3521,,4775847,,
3522,12000000,21142914,,
3523,,,,
3524,,9380473,,
3525,13000000,8951935,,
3526,100000000,87423861,,
3527,70000000,309460292,,
3528,16000000,18564088,,
3529,90000000,134403112,,
3530,31000000,41067311,,
3531,50000000,73956241,,
3532,,67952969,,
3533,8500000,22593409,,
3534,65000000,117758500,,
3535,10000000,3325736,,
3536,80000000,118880016,,
3537,29000000,89446268,,
3538,11000000,16071990,,
3539,35000000,27807627,,
3540,80000000,176885658,,
3541,,104257,,
3542,25000000,10115013,,
3543,,1765545,,
3544,75000000,30657854,,
3545,34000000,30636478,,
3546,9000000,34573780,,
3547,13000000,6262878,,
3548,,254441,,
3549,55000000,16649768,,
3550,,2259680,,
3551,75000000,93900680,,
3552,,2015406,,
3553,,752122,,
3554,50000000,13042112,,
3555,45000000,10667893,,
3556,92000000,113996937,,
3557,,,,
3558,23000000,10827816,,
3559,28000000,8891623,,
3560,12000000,36450736,,
3561,65000000,36850101,,
3562,,,,
3563,23000000,23631929,,
3564,38000000,635096,,
3565,6000000,6852450,,
3566,80000000,35242897,,
3567,,7918035,,
3568,64000000,74608570,,
3569,75000000,54264342,,
3570,,1632567,,
3571,80000000,90874570,,
3572,21000000,17762705,,
3573,75000000,19598588,,
3574,24000000,22323612,,
3575,,259510,,
3576,35000000,17589705,,
3577,6000000,25059640,,
3578,15000000,4488529,,
3579,4000000,2924635,,
3580,33000000,8408835,,
3581,26000000,11683047,,
3582,30000000,12017369,,
3583,,6208548,,
3584,80000000,34105207,,
3585,70000000,9974410,,
3586,38000000,28121100,,
3587,7000000,7302522,,
3588,,461259,,
3589,6000000,4398989,,
3590,13000000,12924063,,
3591,50000000,58900031,,
3592,,4177818,,
3593,30000000,133949270,,
3594,29750000,4525794,,
3595,5250000,10155690,,
3596,60000000,22365133,,
3597,14000000,18542974,,
3598,,5453,,
3599,12000000,14401563,,
3600,30000000,4197729,,
3601,10000000,10920544,,
3602,,92442,,
3603,20000000,10570375,,
3604,14000000,206128,,
3605,,94591,,
3606,28000000,4555459,,
3607,30000000,11578059,,
3608,25000000,24493601,,
3609,35000000,23049593,,
3610,27000000,14936407,,
3611,20000000,9177355,,
3612,51000000,36911617,,
3613,7000000,14011454,,
3614,12000000,5541431,,
3615,15000000,2005840,,
3616,30000000,6552255,,
3617,,646532,,
3618,50000000,13263993,,
3619,7000000,27816,,
3620,24000000,8678812,,
3621,45000000,4956401,,
3622,36000000,2986932,,
3623,,474900,,
3624,12000000,178278,,
3625,,3957934,,
3626,,3736868,,
3627,,2777552,,
3628,,293092,,
3629,450000,2087228,,
3630,,19478,,
3631,,401299,,
3632,4000000,164022,,
3633,,927107,,
3634,75000000,28544120,,
3635,,570708,,
3636,,370668,,
3637,500000,,,
3638,,437568,,
3639,25000000,11993021,,
3640,2500000,1302067,,
3641,2500000,1955933,,
3642,,,,
3643,,60279,,
3644,60000000,47386287,,
3645,7000000,34266564,,
3646,103000000,465380802,,
3647,,83557872,,
3648,4500000,7390108,,
3649,9000000,40047078,,
3650,,14493284,,
3651,90000000,429632142,,
3652,19000000,278019771,,
3653,140000000,328718434,,
3654,45000000,113916474,,
3655,75000000,296339528,,
3656,65000000,128884132,,
3657,110000000,215294342,,
3658,52000000,256271286,,
3659,75000000,248118121,,
3660,93000000,264105545,,
3661,16000000,119754278,,
3662,50000000,144056873,,
3663,11000000,90449929,,
3664,30000000,136771683,,
3665,125000000,546388108,,
3666,26000000,71870729,,
3667,82000000,96085477,,
3668,45000000,224834564,,
3669,33000000,104155843,,
3670,23000000,112880294,,
3671,48000000,207515725,,
3672,,10045677,,
3673,,14244250,,
3674,100000000,291420351,,
3675,100000000,169661687,,
3676,17000000,213525736,,
3677,90000000,237202299,,
3678,13000000,73180723,,
3679,55000000,330444045,,
3680,23000000,53187659,,
3681,95000000,190213455,,
3682,5000000,2554,,
3683,45000000,212742720,,
3684,30000000,47126295,,
3685,73000000,29725663,,
3686,40000000,161834276,,
3687,10000000,20789556,,
3688,41300000,106371651,,
3689,25000000,152699976,,
3690,5000000,109283018,,
